date,plate.SN,well,treatment,dose,units,meanfiringrate_AUC,burst.per.min_AUC,mean.isis_AUC,per.spikes.in.burst_AUC,mean.dur_AUC,mean.IBIs_AUC,nAE_AUC,nABE_AUC,ns.n_AUC,ns.peak.m_AUC,ns.durn.m_AUC,ns.percent.of.spikes.in.ns_AUC,ns.mean.insis_AUC,ns.durn.sd_AUC,ns.mean.spikes.in.ns_AUC,r_AUC,mi_AUC,cv.time_AUC,cv.network_AUC
20141112,MW1041-17,B1,Bisphenol A,0,uM,10.062,24.744,0.373,524.849,3.729,255.555,97.5,90,688.5,80.092,1.299,124.675,100.743,0.429,242.431,1.484,0.056,4.894,13.996
20141029,MW1036-8,A1,Cadmium,0,uM,19.504,43.166,0.547,480.156,5.983,263.764,116,101,1548,82.499,0.875,108.292,98.382,0.467,265.256,1.465,0.093,3.688,17.165
20141029,MW1036-8,B1,Cadmium,0,uM,16.744,33.695,0.461,498.519,5.544,212.651,114,99.5,1120.5,100.474,1.278,95.193,930.538,0.517,291.715,1.588,0.082,4.281,14.909
20141029,MW1036-8,C1,Cadmium,0,uM,19.857,41.146,0.532,458.242,6.723,155.124,113.5,102,959,95.168,1.427,77.602,814.059,0.772,322.634,1.387,0.071,4.359,16.023
20151014,MW1076-42,A2,Caffeine,0,uM,8.432,15.257,0.136,260.028,1.776,165.141,79,60,507.5,50.286,0.642,71.044,161.763,0.253,252.124,0.927,0.028,11.166,19.736
20151014,MW1076-43,A3,Caffeine,0,uM,11.356,23.228,0.368,283.419,2.853,176.814,74,57.5,446.5,65.612,0.868,59.357,336.47,0.3,267.018,0.874,0.035,8.695,20.454
20151014,MW1076-44,A4,Caffeine,0,uM,11.441,17.941,0.393,223.513,4.029,283.615,60.5,60.5,391.5,65.735,0.77,57.885,233.834,0.174,291.691,0.844,0.027,4.763,11.482
20151014,MW1076-42,B2,Captopril,0,uM,20.557,38.658,0.686,435.619,7.406,209.716,117.5,91,627,75.799,1.223,54.085,236.905,0.713,290.478,1.149,0.083,2.895,20.441
20151014,MW1076-43,B3,Captopril,0,uM,14.102,28.002,0.308,346.654,3.709,139.45,91.5,67,817,66.502,0.82,74.741,323.025,0.368,202.39,1.056,0.062,6.073,22.093
20151014,MW1076-44,B4,Captopril,0,uM,7.707,20.956,0.121,275.173,1.289,115.49,71.5,56.5,512.5,65.709,0.761,92.182,457.56,0.268,196.257,1.238,0.039,6.827,20.495
20160601,MW1062-29,C2,Carbamazepine,0,uM,314.064,10.942,0.134,472.741,2.464,186.808,79.5,66.5,214.5,75.119,1.345,121.823,181.09,0.374,415.039,1.704,0.049,6.296,18.57
20160601,MW1062-43,C3,Carbamazepine,0,uM,461.577,13.249,0.58,467.86,5.888,429.152,79.5,71.5,229,76.572,1.324,108.908,208.326,0.502,364.254,1.472,0.042,6.537,12.739
20160601,MW1062-44,C4,Carbamazepine,0,uM,715.28,16.678,0.574,449.423,6.736,292.899,85.5,80.5,346,77.191,1.47,86.514,258.095,0.505,491.709,1.6,0.063,5.499,12.661
20150128,MW1007-109,B1,Carbaryl,0,uM,12.92,29.62,0.346,571.915,4.147,202.291,105,93.5,996.5,79.468,1.831,153.301,329.326,0.681,283.889,1.535,0.081,3.558,14.435
20150128,MW1008-1,B1,Carbaryl,0,uM,12.522,37.938,0.331,536.444,3.13,262.447,93,81,1753,61.693,0.757,145.668,84.006,0.334,147.407,1.3,0.063,5.006,18.836
20150128,MW1008-40,B1,Carbaryl,0,uM,26.346,55.459,0.308,618.66,4.933,154.512,133.5,121,1538,108.684,1.826,115.067,172.307,0.709,426.375,2.318,0.165,2.272,19.376
20150401,MW1053-26,B1,Chloramben,0,uM,9.551,21.224,0.195,392.882,2.531,174.607,88,81.5,803.5,75.543,1.006,126.632,129.159,0.47,268.941,1.801,0.077,5.686,21.206
20150401,MW1053-31,B1,Chloramben,0,uM,19.494,43.507,0.493,511.684,5.913,185.84,109,99.5,1222,78.665,1.26,111.276,113.244,0.563,330.276,1.694,0.096,3.362,15.412
20150401,MW1053-33,B1,Chloramben,0,uM,17.171,38.015,0.418,494.153,4.894,155.367,124,99,1178,78.15,0.962,125.087,76.061,0.648,284.8,1.684,0.095,2.888,16.869
20150909,MW1047-22,F2,Chloramben,0,uM,8.965,24.348,0.258,478.339,3.028,252.857,81.5,65,682.5,63.31,0.902,136.738,81.544,0.341,204.286,1.217,0.046,5.459,12.903
20150909,MW1047-29,F3,Chloramben,0,uM,14.144,30,0.24,372.707,2.873,98.885,104.5,82,1054.5,76.028,0.981,155.515,74.179,0.458,271.267,1.727,0.101,4.044,9.818
20150909,MW1047-30,F4,Chloramben,0,uM,18.901,34.621,0.497,516.953,14.18,147.25,117,99.5,1330,75.238,0.847,174.348,35.512,0.573,280.707,2.122,0.122,3.287,19.329
20150819,MW1044-2,E2,Chlordiazepoxide,0,uM,18.98,37.172,0.242,672.118,5.111,176.124,136,133.5,746.5,117.981,2.014,145.529,210.7,0.776,705.714,2.78,0.16,2.348,22.346
20150819,MW1044-6,E3,Chlordiazepoxide,0,uM,11.329,31.564,0.219,616.37,2.616,193.462,131,119.5,637.5,118.068,1.761,188.881,151.394,0.439,544.047,2.379,0.088,2.913,23.011
20150819,MW1044-7,E4,Chlordiazepoxide,0,uM,14.616,30.782,0.258,677.24,4.773,217.917,136,136,512.5,120.12,2.031,119.94,263.577,0.826,622.31,3.094,0.124,3.102,14.583
20160601,MW1062-29,B2,Chlorpromazine,0,uM,469.993,15.5,0.137,430.976,2.543,180.105,99,92,304,89.649,1.188,122.515,137.445,0.454,435.056,2.225,0.07,8.438,20.495
20160601,MW1062-43,B3,Chlorpromazine,0,uM,524.02,12.97,0.173,391.984,3.647,280.496,92,85.5,291,87.158,1.335,98.269,270.877,0.349,515.657,1.754,0.056,5.204,21.272
20160601,MW1062-44,B4,Chlorpromazine,0,uM,690.686,23.255,0.398,510.888,4.912,267.877,104.5,94.5,383,85.387,1.514,90.596,170.774,0.58,488.426,1.89,0.08,3.722,21.314
20140924,MW1007-70,B1,Chlorpyrifos,0,uM,11.94,19.324,0.406,473.713,4.848,331.899,118.5,101,379.5,84.845,1.679,75.025,160.118,0.597,372.632,1.801,0.07,5.034,10.33
20140924,MW1007-81,B1,Chlorpyrifos,0,uM,7.951,19.395,0.304,463.961,3.016,310.978,104.5,82,351,75.672,1.199,83.288,219.773,0.289,273.75,1.197,0.041,5.348,14.047
20140924,MW1007-84,B1,Chlorpyrifos,0,uM,5.975,15.359,0.215,421.118,2.831,178.577,99,83.5,330,100.224,1.262,136.121,318.274,0.333,329.694,1.644,0.036,5.389,10.226
20140924,MW1007-70,C1,Chlorpyrifos oxon,0,uM,11.9,19.539,0.48,448.521,6.075,252.043,100.5,88.5,286.5,76.464,1.342,81.834,158.988,0.661,327.859,1.38,0.045,5.937,9.524
20140924,MW1007-81,C1,Chlorpyrifos oxon,0,uM,4.244,9.087,0.318,288.955,2.259,230.809,51.5,31,118,31.295,0.568,47.637,127.803,0.179,104.468,0.48,0.009,7.843,12.03
20140924,MW1007-84,C1,Chlorpyrifos oxon,0,uM,8.879,21.123,0.354,515.125,3.746,302.358,102.5,93.5,292,93.948,1.599,103.008,344.82,0.38,346.939,1.471,0.032,4.765,8.74
20141112,MW 1041-25,C1,Cocaine,0,uM,14.241,33.531,0.218,619.426,3.106,212.446,128.5,124,1007,113.039,1.683,165.745,201.245,0.53,513.172,2.691,0.121,3.422,18.243
20141112,MW 1041-28,C1,Cocaine,0,uM,15.384,34.863,0.346,586.756,4.209,197.698,123.5,116,1171.5,100.245,1.667,145.688,324.082,0.717,373.977,2.386,0.118,3.475,20.975
20141112,MW1041-17,C1,Cocaine,0,uM,12.723,31.899,0.265,616.337,3.626,233.67,126,113.5,1020,108.573,1.647,153.488,263.96,0.669,470.384,2.617,0.113,3.692,16.216
20140827,MW1007-100,D1,Cocaine,0,uM,7.063,20.218,0.581,502.051,4.123,262.165,102,84,700.5,66.869,0.71,109.952,132.573,0.28,171.551,0.999,0.03,4.685,11.707
20140827,MW1007-91,D1,Cocaine,0,uM,13.105,31.163,0.537,519.001,7.361,159.847,86,76.5,962.5,67.916,0.936,128.099,131.98,0.406,191.551,1.428,0.055,5.631,10.763
20140827,MW1007-98,D1,Cocaine,0,uM,9.645,23.792,0.571,423.53,4.813,375.078,102,90,655,77.531,0.969,116.26,125.882,0.389,239.243,1.589,0.051,4.983,8.634
20150819,MW1044-2,F2,Colchicine,0,uM,16.52,35.979,0.32,608.518,4.792,206.591,133.5,126,1075.5,121.319,1.559,149.968,218.668,0.555,501.069,2.611,0.125,2.136,21.778
20150819,MW1044-6,F3,Colchicine,0,uM,13.333,28.199,0.295,585.574,4.78,227.807,131,128.5,1074,119.943,1.541,161.223,211.001,0.69,498.68,2.468,0.102,3.559,19.659
20150819,MW1044-7,F4,Colchicine,0,uM,9.412,24.342,0.457,455.091,4.336,267.612,89.5,74,507,76.059,1.042,122.935,114.931,0.376,183.183,1.222,0.029,5.755,15.029
20150401,MW1053-26,C1,Cotinine,0,uM,12,23.626,0.638,444.044,5.453,214.545,104.5,91,685.5,73.584,1.044,126.741,115.533,0.457,292.206,1.715,0.07,5.325,23.01
20150401,MW1053-31,C1,Cotinine,0,uM,9.027,21.575,0.35,526.39,3.567,387.133,101.5,94.5,615.5,80.194,0.961,118.167,132.293,0.481,280.452,1.747,0.059,6.091,21.764
20150401,MW1053-33,C1,Cotinine,0,uM,11.912,22.569,0.348,542.478,4.489,265.409,117,104.5,712.5,97.116,1.651,120.825,601.942,0.756,439.476,2.265,0.09,5.875,25.752
20150909,MW1047-22,E2,Cotinine,0,uM,15.554,33.429,0.371,462.883,3.953,180.113,100,82,1336,69.007,0.929,153.814,64.465,0.47,309.888,1.735,0.109,4.691,18.489
20150909,MW1047-29,E3,Cotinine,0,uM,17.06,36.749,0.572,516.093,7.462,129.925,108.5,83.5,907,69.402,0.968,110.816,64.584,0.552,220.87,1.487,0.07,3.948,11.308
20150909,MW1047-30,E4,Cotinine,0,uM,14.996,38.464,0.453,514.267,4.561,194.92,116.5,101.5,1107,74.038,0.961,118.588,70.111,0.469,255.962,1.587,0.082,3.048,20.346
20160601,MW1062-29,E2,Cyclophosphamid,0,uM,335.354,11.744,0.143,446.854,2.506,278.514,78.5,76,238.5,75.362,1.284,112.657,244.426,0.29,417.541,1.727,0.046,8.683,17.601
20160601,MW1062-43,E3,Cyclophosphamid,0,uM,400.355,13.689,0.186,420.678,2.844,238.72,92.5,87.5,246.5,88.268,1.317,91.313,240.061,0.348,416.826,1.768,0.045,6.066,24.158
20160601,MW1062-44,E4,Cyclophosphamid,0,uM,357.381,12.655,0.187,431.179,2.52,236.191,85,74.5,249.5,72.872,1.174,99.936,219.98,0.392,279.892,1.218,0.026,6.018,17.861
20141231,MW1045-02,B1,Cypermethrin,0,uM,10.258,20.607,0.204,423.054,3.003,166.241,91,77.5,278,74.883,1.656,68.925,197.526,0.472,346.479,1.347,0.057,6.816,17.516
20141231,MW1045-06,B1,Cypermethrin,0,uM,7.081,17.398,0.208,388.731,2.258,210.275,77.5,73.5,253.5,77.112,1.221,76.961,226.512,0.38,277.968,1.383,0.042,3.219,8.656
20141231,MW1045-09,B1,Cypermethrin,0,uM,9.336,19.206,0.276,364.878,3.127,178.136,84.5,70,244.5,71.033,1.425,57.808,224.81,0.58,247.27,1.115,0.043,8.692,18.726
20150909,MW1047-22,A2,Cytosine Arabinoside,0,uM,23.341,50.505,0.468,496.451,5.135,151.994,118.5,108.5,1358.5,82.374,0.912,166.609,48.855,0.477,414.012,2.339,0.178,4.25,17.256
20150909,MW1047-29,A3,Cytosine Arabinoside,0,uM,9.821,23.498,0.228,372.646,2.939,144.337,92,75.5,1196,62.984,0.803,169.067,99.366,0.356,210.665,1.565,0.071,4.861,12.313
20150909,MW1047-30,A4,Cytosine Arabinoside,0,uM,19.237,43.618,0.326,488.571,3.586,211.881,111,96.5,1104.5,84.52,0.971,160.304,33.196,0.698,384.91,2.601,0.155,4.383,19.263
20141112,MW 1041-25,D1,Cytosine Arabinoside,0,uM,14.039,34.285,0.222,653.267,3.032,224.08,126.5,122,954.5,115.156,1.679,171.995,192.752,0.565,485.678,2.868,0.133,3.757,17.259
20141112,MW 1041-28,D1,Cytosine Arabinoside,0,uM,17.243,35.192,0.391,529.977,5.398,169.326,114,99.5,1207.5,81.589,1.137,144.445,76.479,0.436,355.671,2.291,0.131,5.464,15.328
20141112,MW1041-17,D1,Cytosine Arabinoside,0,uM,13.395,31.867,0.501,514.421,4.929,231.532,121.5,109.5,936,79.14,1.123,121.437,121.159,0.523,312.344,1.813,0.084,3.282,14.758
20140827,MW1007-100,E1,Cytosine Arabinoside,0,uM,14.763,36.709,0.479,486.749,8.614,233.271,103.5,87,791.5,86.711,1.148,94.864,283.676,0.52,221.883,1.261,0.053,4.331,14.681
20140827,MW1007-91,E1,Cytosine Arabinoside,0,uM,10.551,23.553,0.235,373.189,3.226,159.053,92.5,90,999,74.952,0.957,132.942,91.979,0.418,215.461,2.618,0.071,8.508,11.949
20140827,MW1007-98,E1,Cytosine Arabinoside,0,uM,10.615,24.308,0.425,435.586,4.047,327.795,104,96.5,1438.5,73.675,0.881,164.047,87.361,0.347,242.256,1.572,0.061,4.728,10.507
20141112,MW 1041-25,E1,DEHP,0,uM,14.656,36.38,0.26,590.731,3.238,217.504,126,121.5,1120.5,107.59,1.503,163.01,193.126,0.626,427.699,2.514,0.121,3.748,16.635
20141112,MW 1041-28,E1,DEHP,0,uM,21.87,54.034,0.3,636.497,4.272,149.512,126,121,1210.5,116.352,1.953,140.882,158.73,0.74,482.887,2.747,0.174,2.63,15.597
20141112,MW1041-17,E1,DEHP,0,uM,10.794,27.872,0.331,529.289,4.399,276.087,92.5,82.5,892.5,67.577,1.027,133.069,108.94,0.544,246.375,1.483,0.077,5.185,16.561
20140827,MW1007-100,F1,DEHP,0,uM,9.636,19.747,0.635,314.234,4.979,257.742,89,68.5,584.5,57.762,0.875,84.346,229.755,0.265,123.797,0.837,0.025,5.812,16.657
20140827,MW1007-91,F1,DEHP,0,uM,10.095,26.719,0.391,296.796,3.426,176.559,94.5,77.5,893.5,59.234,0.887,97.839,362.132,0.278,151.936,0.988,0.044,7.109,8.638
20140827,MW1007-98,F1,DEHP,0,uM,15.784,30.069,0.712,361.837,7.2,146.774,65.5,54,867.5,48.006,0.82,112.531,314.314,0.425,109.645,0.922,0.039,7.209,13.489
20140827,MW1007-100,C1,Deltamethrin,0,uM,10.045,24.271,0.36,293.106,3.532,142.227,84,71,1194.5,64.01,0.626,113.179,233.684,0.226,138.66,1.07,0.041,4.291,9.563
20140827,MW1007-91,C1,Deltamethrin,0,uM,8.836,23.726,0.302,378.065,3.869,161.132,99.5,77,894.5,64.289,0.846,123.601,129.468,0.354,189.88,1.186,0.053,5.805,8.439
20140827,MW1007-98,C1,Deltamethrin,0,uM,11.116,28.345,0.529,405.379,5.455,218.487,99.5,88,1353,64.541,0.921,132.658,81.455,0.331,155.267,1.124,0.044,3.775,9.77
20141112,MW 1041-25,F1,Deltamethrin,0,uM,15.251,35.148,0.319,618.765,3.865,208.333,128.5,121,1111.5,110.154,1.705,155.061,192.084,0.697,449.87,2.643,0.133,3.311,17.892
20141112,MW 1041-28,F1,Deltamethrin,0,uM,12.561,32.61,0.313,650.332,3.913,188.067,117,97.5,961.5,76.591,1.143,144.425,69.232,0.465,315.907,2.48,0.107,3.959,19.503
20141112,MW1041-17,F1,Deltamethrin,0,uM,14.391,34.032,0.529,512.825,5.828,162.362,102.5,86,1251.5,77.301,1.154,157.34,100.072,0.485,299.58,1.717,0.094,4.85,17.2
20140924,MW1007-70,D1,Dexamethasone,0,uM,8.303,19.161,0.497,505.132,4.358,302.377,87,75.5,270,63.751,1.064,74.582,189.137,0.276,241.525,0.955,0.028,5.938,13.659
20140924,MW1007-81,D1,Dexamethasone,0,uM,11.474,29.963,0.47,567.504,5.14,154.233,92.5,86,481,70.759,1.29,86.334,109.946,0.526,246.214,1.416,0.054,5.969,13.828
20140924,MW1007-84,D1,Dexamethasone,0,uM,14.519,20.312,0.537,552.552,20.671,235.475,99.5,96.5,354,81.736,1.368,104.553,198.019,0.547,392.442,1.77,0.06,4.967,9.005
20140924,MW1007-70,E1,Diazepam,0,uM,12.392,23.752,0.512,443.079,5.741,236.057,117.5,97.5,408,85.25,1.421,83.592,141.632,0.648,307.667,1.592,0.066,4.62,6.065
20140924,MW1007-81,E1,Diazepam,0,uM,12.682,25.804,0.35,553.573,9.415,218.654,119,101.5,452.5,84.902,1.439,93.559,113.781,0.45,329.84,1.662,0.068,4.838,13.079
20140924,MW1007-84,E1,Diazepam,0,uM,10.291,22.946,0.514,518.926,5.204,265.258,108,93.5,379.5,80.438,1.383,77.636,150.619,0.385,289.278,1.336,0.043,5.527,8.966
20141029,MW1008-41,B1,Dieldrin,0,uM,21.281,51.339,0.241,516.502,4.214,141.308,116.5,116.5,1649.5,104.699,1.44,173.451,179.736,0.648,633.783,2.42,0.15,2.169,11.575
20141029,MW1008-42,D1,Dieldrin,0,uM,26.408,50.059,0.5,511.498,6.589,159.291,124,119,1283,98.693,1.593,102.042,716.809,0.718,367.516,1.707,0.113,3.22,17.655
20141029,MW1008-41,F1,Dieldrin,0,uM,26.897,56.775,0.29,520.3,6.487,88.673,120,120,1906.5,95.249,1.279,141.496,59.974,0.697,338.33,2.148,0.145,2.358,11.687
