treatment,apid,rowi,coli,wllt,wllq,conc,rval,srcf,acsn
DMSO,MW1007-27a,3,1,n,1,0,7.2431,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,3,1,n,1,0,7.482015,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,3,1,n,1,0,5.491285,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,3,8,n,1,0,9.247093,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27a,3,8,n,1,0,3.628437,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,3,8,n,1,0,10.144372,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,3,8,n,1,0,3.932386,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-104,4,1,n,1,0,6.378981,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,4,1,n,1,0,7.854252,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26b,4,1,n,1,0,7.044786,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27a,4,1,n,1,0,6.88834,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,4,1,n,1,0,9.38251,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,4,1,n,1,0,9.249182,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-104,4,8,n,1,0,6.95037,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,4,8,n,1,0,11.65057,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27a,4,8,n,1,0,9.44366,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,4,8,n,1,0,9.081968,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,4,8,n,1,0,4.806788,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-104,5,1,n,1,0,11.937493,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,5,1,n,1,0,13.946197,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26b,5,1,n,1,0,8.658992,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27a,5,1,n,1,0,8.183817,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,5,1,n,1,0,11.268203,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,5,1,n,1,0,6.016489,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26b,5,7,n,1,0,0,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,5,8,n,1,0,13.615502,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27a,5,8,n,1,0,10.731337,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,5,8,n,1,0,6.817012,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,5,8,n,1,0,3.546586,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-104,6,1,n,1,0,6.303405,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,6,1,n,1,0,10.652004,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26b,6,1,n,1,0,6.803348,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27a,6,1,n,1,0,4.264228,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,6,1,n,1,0,7.302977,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,6,1,n,1,0,5.9747,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-26a,6,8,n,1,0,13.371603,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27a,6,8,n,1,0,10.368413,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-27b,6,8,n,1,0,13.422839,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
DMSO,MW1007-38,6,8,n,1,0,3.950518,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-26a,3,2,t,1,3e-04,14.985667,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-26a,3,3,t,1,0.001,10.968557,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27a,3,2,t,1,0.003,8.654967,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27b,3,2,t,1,0.003,9.487243,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-38,3,2,t,1,0.003,5.6534,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-26a,3,4,t,1,0.003,11.495874,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27a,3,3,t,1,0.01,5.106736,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27b,3,3,t,1,0.01,9.775343,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-38,3,3,t,1,0.01,5.470799,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-26a,3,5,t,1,0.01,8.505561,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-104,3,2,t,1,0.01,3.867364,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26b,3,2,t,1,0.01,7.175259,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-104,6,2,t,1,0.01,9.319039,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26b,6,2,t,1,0.01,6.018993,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-104,1,2,t,1,0.03,7.855282,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26a,2,2,t,1,0.03,10.589126,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26b,2,2,t,1,0.03,7.589198,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-27a,2,2,t,1,0.03,12.179165,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-27b,2,2,t,1,0.03,8.225844,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-38,2,2,t,1,0.03,7.037862,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-104,4,2,t,1,0.03,7.244771,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26b,5,2,t,1,0.03,5.485692,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27a,3,4,t,1,0.03,8.095914,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27b,3,4,t,1,0.03,6.780596,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-38,3,4,t,1,0.03,4.656207,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-26a,3,6,t,1,0.03,11.48022,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-104,3,3,t,1,0.03,5.316207,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26b,3,3,t,1,0.03,5.263025,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26a,6,2,t,1,0.03,9.690922,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-104,6,3,t,1,0.03,9.736312,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26b,6,3,t,1,0.03,9.914017,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-26a,1,2,t,1,0.1,11.426327,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-27a,1,2,t,1,0.1,7.128737,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-27b,1,2,t,1,0.1,11.215166,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-38,1,2,t,1,0.1,5.799599,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-104,1,3,t,1,0.1,6.449811,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26a,2,3,t,1,0.1,12.313251,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26b,2,3,t,1,0.1,5.469104,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-27a,2,3,t,1,0.1,8.426756,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-27b,2,3,t,1,0.1,8.168511,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-38,2,3,t,1,0.1,5.4449,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-104,4,3,t,1,0.1,8.36247,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26b,5,3,t,1,0.1,11.73046,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27a,3,5,t,1,0.1,7.587404,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27b,3,5,t,1,0.1,7.205326,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-38,3,5,t,1,0.1,7.882721,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-26a,3,7,t,1,0.1,5.837371,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-26b,1,2,t,1,0.1,9.208182,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-104,2,2,t,1,0.1,5.629504,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-26b,4,2,t,1,0.1,4.415009,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-104,5,2,t,1,0.1,7.296769,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-26a,4,2,t,1,0.1,11.423896,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-27a,4,2,t,1,0.1,7.310336,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-27b,4,2,t,1,0.1,4.963649,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-38,4,2,t,1,0.1,4.713857,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-26a,5,2,t,1,0.1,22.524443,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-27a,5,2,t,1,0.1,12.526726,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-27b,5,2,t,1,0.1,6.924705,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-38,5,2,t,1,0.1,5.982864,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-104,3,4,t,1,0.1,11.427376,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26b,3,4,t,1,0.1,3.516062,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-27a,6,2,t,1,0.1,6.864833,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-27b,6,2,t,1,0.1,5.642544,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-38,6,2,t,1,0.1,9.202544,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26a,6,3,t,1,0.1,11.187168,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-104,6,4,t,1,0.1,11.182081,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26b,6,4,t,1,0.1,9.477096,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-26a,1,3,t,1,0.3,7.942913,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-27a,1,3,t,1,0.3,9.548056,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-27b,1,3,t,1,0.3,10.29313,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-38,1,3,t,1,0.3,8.961188,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-104,1,4,t,1,0.3,4.152401,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26a,2,4,t,1,0.3,10.194358,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26b,2,4,t,1,0.3,5.884332,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-27a,2,4,t,1,0.3,6.375276,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-27b,2,4,t,1,0.3,8.640343,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-38,2,4,t,1,0.3,3.073431,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-104,4,4,t,1,0.3,5.894066,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26b,5,4,t,1,0.3,6.371126,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27a,3,6,t,1,0.3,1.972913,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27b,3,6,t,1,0.3,6.430485,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-38,3,6,t,1,0.3,2.167826,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-26b,1,3,t,1,0.3,11.546366,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-104,2,3,t,1,0.3,7.34921,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-26b,4,3,t,1,0.3,7.156877,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-104,5,3,t,1,0.3,7.967283,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-26a,4,3,t,1,0.3,5.94489,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-27a,4,3,t,1,0.3,4.839668,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-27b,4,3,t,1,0.3,5.81275,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-38,4,3,t,1,0.3,7.036579,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-26a,5,3,t,1,0.3,15.303925,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-27a,5,3,t,1,0.3,9.038622,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-27b,5,3,t,1,0.3,6.970725,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-38,5,3,t,1,0.3,7.127389,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-104,3,5,t,1,0.3,9.270075,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26b,3,5,t,1,0.3,8.058642,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-27a,6,3,t,1,0.3,11.230447,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-27b,6,3,t,1,0.3,10.664724,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-38,6,3,t,1,0.3,5.483779,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26a,6,4,t,1,0.3,10.325288,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-104,6,5,t,1,0.3,16.581299,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26b,6,5,t,1,0.3,13.453458,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-26a,1,4,t,1,1,10.653049,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-27a,1,4,t,1,1,8.984083,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-27b,1,4,t,1,1,9.806042,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-38,1,4,t,1,1,3.792335,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-104,1,5,t,1,1,3.696444,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26a,2,5,t,1,1,8.642658,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26b,2,5,t,1,1,5.906579,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-27a,2,5,t,1,1,7.517596,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-27b,2,5,t,1,1,10.28472,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-38,2,5,t,1,1,2.482331,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-104,4,5,t,1,1,5.940289,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26b,5,5,t,1,1,5.256487,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27a,3,7,t,1,1,4.507595,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-27b,3,7,t,1,1,5.126988,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Domoic Acid,MW1007-38,3,7,t,1,1,2.418531,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-26b,1,4,t,1,1,10.459772,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-104,2,4,t,1,1,9.59263,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-26b,4,4,t,1,1,4.615474,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Glyphosate,MW1007-104,5,4,t,1,1,8.946657,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-26a,4,4,t,1,1,2.013879,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-27a,4,4,t,1,1,1.893836,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-27b,4,4,t,1,1,3.084847,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Loperamide,MW1007-38,4,4,t,1,1,0.952521,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-26a,5,4,t,1,1,4.963897,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-27a,5,4,t,1,1,8.718221,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-27b,5,4,t,1,1,8.791546,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Mevastatin,MW1007-38,5,4,t,1,1,4.749989,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-104,3,6,t,1,1,6.296909,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26b,3,6,t,1,1,7.309142,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-27a,6,4,t,1,1,6.453922,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-27b,6,4,t,1,1,13.954231,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-38,6,4,t,1,1,1.945317,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26a,6,5,t,1,1,14.297842,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-104,6,6,t,1,1,8.923724,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Sodium Orthovanadate,MW1007-26b,6,6,t,1,1,11.326578,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-26a,1,6,t,1,10,11.949445,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-27a,1,6,t,1,10,12.127861,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-27b,1,6,t,1,10,9.223148,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Acetaminophen,MW1007-38,1,6,t,1,10,5.528039,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-104,1,7,t,1,10,0,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-26a,2,7,t,1,10,0,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
Bisindolymaleimide 1,MW1007-27a,2,7,t,1,10,0,Brown2016_AUC.csv,NHEERL_MEA_dev_firing_rate_mean
