"dataset","mea_treatment_name","updated_treatment_name","PREFERRED_NAME","casn","dsstox_substance_id","spid","ALIQUOT_PLATE_BARCODE","filename","notes"
"DNTGF2019","34","34","D-Glucitol","50-70-4","DTXSID5023588","EPAPLT0169A05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","35","35","Diazinon","333-41-5","DTXSID9020407","EPAPLT0170D06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","36","36","Dimethoate","60-51-5","DTXSID7020479","EPAPLT0167G06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","37","37","Dinotefuran","165252-70-0","DTXSID7034549","EPAPLT0167H01",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","38","38","Disulfoton","298-04-4","DTXSID0022018","EPAPLT0167C04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","4 Glufosinate-P Technical","Glufosinate-P","Glufosinate-P","35597-44-5","DTXSID401020544","EX000372","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA
"DNTGF2019","40","40","Doxylamine succinate","562-10-7","DTXSID7020552","EPAPLT0167E08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","44","44","Ethylene thiourea","96-45-7","DTXSID5020601","EPAPLT0167C11",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","46","46","Famotidine","76824-35-6","DTXSID5023039","EPAPLT0167C01",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","47","47","Fenamidone","161326-34-7","DTXSID2034590","EPAPLT0167E02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","49","49","Flubendiamide","272451-65-7","DTXSID4047672","EPAPLT0167F09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","5","5","Acephate","30560-19-1","DTXSID8023846","EPAPLT0167A01",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","50","50","Flufenacet","142459-58-3","DTXSID2032552","EPAPLT0167E04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","52","52","Galactosamine hydrochloride","1772-03-8","DTXSID4031356","EPAPLT0167B01",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","54","54","Heptachlor","76-44-8","DTXSID3020679","EPAPLT0170C04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","56","56","Ibuprofen","15687-27-1","DTXSID5020732","EPAPLT0167B06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","58","58","Indoxacarb","173584-44-6","DTXSID1032690","EPAPLT0167E10",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","61","61","Malathion","121-75-5","DTXSID4020791","EPAPLT0167G08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","62","62","Mancozeb","8018-01-7","DTXSID0034695","EPAPLT0167A10",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","63","63","1,1-Dimethylpiperidinium chloride","24307-26-4","DTXSID1024170","EPAPLT0167D03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","64","64","Metaflumizone","139968-49-3","DTXSID6040373","EPAPLT0167A03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","65","65","Metformin","657-24-9","DTXSID2023270","EPAPLT0167A02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","66","66","Methamidophos","10265-92-6","DTXSID6024177","EPAPLT0167A08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","68","68","Methyl parathion","298-00-0","DTXSID1020855","EPAPLT0167H08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","69","69","Metoprolol","51384-51-1","DTXSID2023309","EPAPLT0167A04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","7","7","Acibenzolar-S-methyl","135158-54-2","DTXSID1032519","EPAPLT0167A05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","70","70","Mifepristone","84371-65-3","DTXSID5023322","EPAPLT0167D09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","71","71","Octamethylcyclotetrasiloxane","556-67-2","DTXSID7027205","EPAPLT0167H03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","73","73","Penicillin VK","132-98-9","DTXSID7021102","EPAPLT0167C03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","74","74","Potassium perfluorooctanesulfonate","2795-39-3","DTXSID8037706","EPAPLT0167H09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","75","75","Pymetrozine","123312-89-0","DTXSID2032637","EPAPLT0167F07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","77","77","Selegiline hydrochloride","14611-52-0","DTXSID9044584","EPAPLT0167E07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","78","78","Sodium chlorite","7758-19-2","DTXSID8021272","EPAPLT0167B07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","79","79","Sodium L-glutamate hydrate","6106-04-3","DTXSID0047240","EPAPLT0167D11",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","8","8","Allethrin","584-79-2","DTXSID8035180","EPAPLT0167B05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","80","80","Spirodiclofen","148477-71-8","DTXSID6034928","EPAPLT0167D04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","81","81","Sulfisoxazole","127-69-5","DTXSID6021292","EPAPLT0167C06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","82","82","tau-Fluvalinate","102851-06-9","DTXSID7037555","EPAPLT0167G07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","83","83","Tembotrione","335104-84-2","DTXSID5047037","EPAPLT0167H07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","84","84","tert-Butylphenyl diphenyl phosphate","56803-37-3","DTXSID6024701","EPAPLT0169B03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","88","88","Topramezone","210631-68-8","DTXSID0034722","EPAPLT0167D10",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","89","89","Tri-allate","2303-17-5","DTXSID5024344","EPAPLT0167F05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","9","9","alpha-Cypermethrin","67375-30-8","DTXSID7041201","EPAPLT0167F02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","90","90","Triamcinolone","124-94-7","DTXSID1040742","EPAPLT0167F08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","93","93","Trichlorfon","52-68-6","DTXSID0021389","EPAPLT0170D03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","94","94","Tri-o-cresyl phosphate","78-30-8","DTXSID6032192","EPAPLT0167B02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","97","97","Tris(2-chloroisopropyl)phosphate","13674-84-5","DTXSID5026259","EPAPLT0167C08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","99","99","Warfarin","81-81-2","DTXSID5023742","EPAPLT0167D02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA
"DNTGF2019","Glufosinate Ammonium","Glufosinate-ammonium","Glufosinate-ammonium","77182-82-2","DTXSID1024120","EX000371","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA
"DNTGF2019","Glyphosate","Glyphosate","Glyphosate","1071-83-6","DTXSID1024122","EX000408","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA
"DNTGF2019","L-Glufosinate Ammonium","Glufosinate-P ammonium","Glufosinate-P ammonium","73777-50-1","DTXSID101020545","EX000374","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA
"DNTGF2019","Loperamide","4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","34552-83-5","DTXSID00880006","EX000411","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA
"Frank2017","1-2-PropyleneGlycol","1,2-Propylene glycol","1,2-Propylene glycol","57-55-6","DTXSID0021206","EX000516","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","5-Fluorouracil","5-Fluorouracil","5-Fluorouracil","51-21-8","DTXSID2020634","EX000412","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Acetaminophen","Acetaminophen","Acetaminophen","103-90-2","DTXSID2020006","EX000404","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Acetamiprid","Acetamiprid","Acetamiprid","135410-20-7","DTXSID0034300","EX000521","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Acrylamide","Acrylamide","Acrylamide","79-06-1","DTXSID5020027","EX000427","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Aldicarb","Aldicarb","Aldicarb","116-06-3","DTXSID0039223","EX000429","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Aminonicotinamide","Aminonicotinamide","6-Aminonicotinamide","329-89-5","DTXSID5051446","EX000424","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Amoxacillin","Amoxicillin","Amoxicillin","26787-78-0","DTXSID3037044","EX000399","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Amphetamine","Amphetamine","Dextroamphetamine sulfate","51-63-8","DTXSID2057865","EX000402","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Bis (2-ethylhexyl) phthalate-DEHP,DEHP","Bis (2-ethylhexyl) phthalate (DEHP)","Di(2-ethylhexyl) phthalate","117-81-7","DTXSID5020607","EX000422","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; DEHP in 20140827, longer name in 20141112"
"Frank2017","Bis(tri-n-butylin) oxide","Bis(tri-n-butylin) oxide","Bis(tributyltin)oxide","56-35-9","DTXSID9020166","EX000447","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Bis1","Bisindolylmaleimide I (Bis 1)","Bisindolylmaleimide I","133052-90-1","DTXSID50157932","EX000475","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Bisphenol A","Bisphenol A","Bisphenol A","80-05-7","DTXSID7020182","EX000420","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Cadmium","Cadmium","Cadmium(II) chloride hydrate (2:5)","7790-78-5","DTXSID4040183","EX000388","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Caffeine","Caffeine","Caffeine","58-08-2","DTXSID0020232","EX000396","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Captopril","Captopril","Captopril","62571-86-2","DTXSID1037197","EX000456","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Carbamazepine","Carbamazepine","Carbamazepine","298-46-4","DTXSID4022731","EX000470","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Carbaryl","Carbaryl","Carbaryl","63-25-2","DTXSID9020247","EX000522","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Chloramben","Chloramben","Chloramben","133-90-4","DTXSID2020262","EX000460","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Chlordiazepoxide","Chlordiazepoxide","Chlordiazepoxide hydrochloride","438-41-5","DTXSID40880060","EX000390","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Chlorpromazine","Chlorpromazine","Chlorpromazine hydrochloride","69-09-0","DTXSID7024827","EX000469","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Chlorpyrifos","Chlorpyrifos","Chlorpyrifos","2921-88-2","DTXSID4020458","EX000384","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Chlorpyrifos oxon","Chlorpyrifos oxon","Chlorpyrifos oxon","5598-15-2","DTXSID1038666","EX000378","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Cocaine","Cocaine","Cocaine","50-36-2","DTXSID2038443","EX000382","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Colchicine","Colchicine","Colchicine","64-86-8","DTXSID5024845","EX000431","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Cotinine","Cotinine","Cotinine","486-56-6","DTXSID1047576","EX000459","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Cyclophosphamid","Cyclophosphamide","Cyclophosphamide monohydrate","6055-19-2","DTXSID6024888","EX000472","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Cypermethrin","Cypermethrin","Cypermethrin","52315-07-8","DTXSID1023998","EX000523","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Cytosine arabinoside","Cytosine Arabinoside","Cytarabine","147-94-4","DTXSID3022877","EX000413","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Deltamethrin","Deltamethrin","Deltamethrin","52918-63-5","DTXSID8020381","EX000423","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Dexamethasone","Dexamethasone","Dexamethasone","50-02-2","DTXSID3020384","EX000395","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Diazepam","Diazepam","Diazepam","439-14-5","DTXSID4020406","EX000409","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Dieldrin","Dieldrin","Dieldrin","60-57-1","DTXSID9020453","EX000417","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Diethylene glycol","Diethylene glycol","Diethylene glycol","111-46-6","DTXSID8020462","EX000457","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Diethylstilbestrol","Diethylstilbestrol","Diethylstilbestrol","56-53-1","DTXSID3020465","EX000432","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Diphenylhydantoin","Diphenylhydantoin","5,5-Diphenylhydantoin","57-41-0","DTXSID8020541","EX000381","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Domoic Acid","Domoic Acid","L-Domoic acid","14277-97-5","DTXSID20274180","EX000487","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Emamectin benzoate","Emamectin benzoate","Emamectin benzoate","155569-91-8","DTXSID0034566","EX000524","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Fipronil","Fipronil","Fipronil","120068-37-3","DTXSID4034609","EX000525","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Fluconazole","Fluconazole","Fluconazole","86386-73-4","DTXSID3020627","EX000462","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Fluoxetine","Fluoxetine","Fluoxetine hydrochloride","56296-78-7","DTXSID7020635","EX000468","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Flusilazole","Flusilazole","Flusilazole","85509-19-9","DTXSID3024235","EX000518","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Glyphosate","Glyphosate","Glyphosate","1071-83-6","DTXSID1024122","EX000408","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Haloperidol","Haloperidol","Haloperidol","52-86-8","DTXSID4034150","EX000410","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Heptachlor epoxide","Heptachlor epoxide","Heptachlor epoxide B","1024-57-3","DTXSID1024126","EX000437","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Hexachlorophene","Hexachlorophene","Hexachlorophene","70-30-4","DTXSID6020690","EX000392","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Hydroxyurea","Hydroxyurea","Hydroxyurea","127-07-1","DTXSID6025438","EX000446","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Imidacloprid","Imidacloprid","Imidacloprid","138261-41-3","DTXSID5032442","EX000526","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Isoniazid","Isoniazid","Isoniazid","54-85-3","DTXSID8020755","EX000441","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Ketamine","Ketamine","L-Ketamine hydrochloride","33795-24-3","DTXSID90187455","EX000391","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Lactofen","Lactofen","Lactofen","77501-63-4","DTXSID7024160","EX000520","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Lead acetate","Lead Acetate","Lead(II) acetate trihydrate","6080-56-4","DTXSID3031521","EX000385","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Lindane","Lindane","Lindane","58-89-9","DTXSID2020686","EX000527","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Loperamide","Loperamide","4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","34552-83-5","DTXSID00880006","EX000411","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; CAS # changed from 53179-11-6 (Loperamide) to 34552-83-5 (Loperamide hydrochloride), based on the lab notebook"
"Frank2017","Maneb","Maneb","Maneb","12427-38-2","DTXSID9020794","EX000418","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Manganese","Manganese","Manganese dichloride","7773-01-5","DTXSID9040681","EX000467","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
"Frank2017","Methotrexate","Methotrexate","Methotrexate","59-05-2","DTXSID4020822","EX000445","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; "
