"PREFERRED_NAME","EPA_SAMPLE_ID","treatment","filename","primary_dataset","ALIQUOT_PLATE_BARCODE","ALIQUOT_WELL_ID","ALIQUOT_CONC","ALIQUOT_CONC_UNIT","TARGET_CONC","TARGET_CONC_UNIT","ALIQUOT_VOLUME","ALIQUOT_VOLUME_UNIT","ALIQUOT_SOLVENT","ALIQUOT_DATE","BOTTLE_ID","pd_sample_id","gsid","ALIQUOT_VIAL_BARCODE","pd_sample","LOCATION","MW","Supplier","Lot.Number","CoA.Purity.(%)","Determined.Purity.(%)","Culture","chid","stkc","stkc_unit","tested_conc_unit","casn","chnm","dsstox_substance_id","notes","Solvent.used"
"4H-Cyclopenta(def)phenanthrene","EX000289","4-H-Cyclopenta(d,e,f)phenanthrene","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A12","190.24","Sigma-Aldrich","09321CD","99.3","99.42",20160803,24887,20.3999996185303,"mM","uM","203-64-5","4H-Cyclopenta(def)phenanthrene","DTXSID1024887","",NA
"4H-Perfluorobutanoic acid","1483038","1483038","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1483038",NA,"G3","196.048",NA,NA,NA,NA,NA,892417,30,"mM","uM","679-12-9","4H-Perfluorobutanoic acid","DTXSID50892417","",NA
"5,5-Diphenylhydantoin","EX000381","Diphenylhydantoin","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","11","20","mM",20,"mM",100,"uL","-","-","EX000381",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20541,20,"mM","uM","57-41-0","5,5-Diphenylhydantoin","DTXSID8020541","","DMSO"
"5-Azacytidine","EPAPLT0167A06","3","All Assays_list_toxcast_OECD 20190524.xlsx","DNTGF2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20116,20,"mM","uM","320-67-2","5-Azacytidine","DTXSID9020116","",NA
"5-Chloro-2-methyl-3(2H)-isothiazolone","EX000517","Methylchloroisothiazolinone","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Frank2017","DNT_EXTRA2","2","100","mM",100,"mM",100,"uL","-","-","EX000517",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,34286,100,"mM","uM","26172-55-4","5-Chloro-2-methyl-3(2H)-isothiazolone","DTXSID9034286","","Water"
"5-Fluorouracil","EX000290","5-Fluorouracil","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B1","130.08","Sigma-Aldrich","11121MQ","99","96.5",NA,20634,20.6000003814697,"mM","uM","51-21-8","5-Fluorouracil","DTXSID2020634","",NA
"5-Fluorouracil","EX000412","5-Fluorouracil","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","42","20","mM",20,"mM",100,"uL","-","-","EX000412",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,20634,20,"mM","uM","51-21-8","5-Fluorouracil","DTXSID2020634","","DMSO"
"5H-Octafluoropentanoyl fluoride","1483030","1483030","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1483030",NA,"F5","248.048",NA,NA,NA,NA,NA,379730,30,"mM","uM","813-03-6","5H-Octafluoropentanoyl fluoride","DTXSID70379730","",NA
"5H-Perfluoropentanal","1483034","1483034","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1483034",NA,"F9","230.057",NA,NA,NA,NA,NA,337466,30,"mM","uM","2648-47-7","5H-Perfluoropentanal","DTXSID20337466","",NA
"6-Aminonicotinamide","EX000424","Aminonicotinamide","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","54","20","mM",20,"mM",100,"uL","-","-","EX000424",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,51446,20,"mM","uM","329-89-5","6-aminopyridine-3-carboxamide","DTXSID5051446","","DMSO"
"6-Methyl-2-thiouracil","TP0001649A12","6-Methyl-2-thiouracil","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","A12",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,20890,NA,"TP0001649A12","",NA,NA,NA,NA,NA,NA,20890,20,"mM","uM","56-04-2","6-Methyl-2-thiouracil","DTXSID2020890","",NA
"6-Propyl-2-thiouracil","EX000292","6-Propyl-2-thiouracil","Copy of NTP91_Compounds_4NHEERL_MEA_dev_cg.xlsx","NTP91",NA,NA,"20.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B3","170.23","Sigma-Aldrich","094K2502","100","98.64",NA,21209,20.5,"mM","uM","51-52-5","6-Propyl-2-thiouracil","DTXSID5021209","",NA
"6-Propyl-2-thiouracil","EX000421","Thiouracil","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Frank2017","HTP_LOG","51","20","mM",20,"mM",100,"uL","-","-","EX000421",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,21209,20,"mM","uM","51-52-5","6-Propyl-2-thiouracil","DTXSID5021209","","DMSO"
"6-Propyl-2-thiouracil","TP0001649B07","6-Propyl-2-thiouracil","EPA_12088_EPA-Shafer_96misc_75ul_20160826_key.xlsx","ToxCast2016","TP0001649","B07",NA,NA,20,"mM",75,"uL","DMSO","42586",NA,NA,21209,NA,"TP0001649B07","",NA,NA,NA,NA,NA,NA,21209,20,"mM","uM","51-52-5","6-Propyl-2-thiouracil","DTXSID5021209","",NA
"6:2 Fluorotelomer alcohol","1483045","1483045","EPA_9238_EPA-Shafer_75_20180511.xlsx","PFAS2018",NA,NA,NA,NA,30,"mM",200,"uL",NA,NA,NA,NA,NA,"1483045",NA,"G10","364.106",NA,NA,NA,NA,NA,44572,30,"mM","uM","647-42-7","6:2 Fluorotelomer alcohol","DTXSID5044572","",NA
