"dataset","mea_treatment_name","updated_treatment_name","PREFERRED_NAME","casn","dsstox_substance_id","spid","ALIQUOT_PLATE_BARCODE","filename","notes","cultures","ALIQUOT_WELL_ID","ALIQUOT_SOLVENT","ALIQUOT_DATE","BOTTLE_ID","ALIQUOT_VIAL_BARCODE","LOCATION","MW","Supplier","Lot.Number","chid","chnm","Solvent.used"
"DNTGF2019","22","22","Captopril","62571-86-2","DTXSID1037197","EPAPLT0169G09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,37197,"Captopril",NA
"DNTGF2019","23","23","Carbaryl","63-25-2","DTXSID9020247","EPAPLT0167D01",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190904",NA,NA,NA,NA,NA,"",NA,NA,NA,20247,"Carbaryl",NA
"DNTGF2019","24","24","Chlorpheniramine maleate","113-92-8","DTXSID4020321","EPAPLT0167C07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190904",NA,NA,NA,NA,NA,"",NA,NA,NA,20321,"Chlorpheniramine maleate",NA
"DNTGF2019","25","25","Chlorpyrifos-methyl","5598-13-0","DTXSID6032352","EPAPLT0167E05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190904",NA,NA,NA,NA,NA,"",NA,NA,NA,32352,"Chlorpyrifos-methyl",NA
"DNTGF2019","26","26","Clothianidin","210880-92-5","DTXSID2034465","EPAPLT0167C09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190904",NA,NA,NA,NA,NA,"",NA,NA,NA,34465,"Clothianidin",NA
"DNTGF2019","27","27","Cyfluthrin","68359-37-5","DTXSID5035957","EPAPLT0167F10",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190904",NA,NA,NA,NA,NA,"",NA,NA,NA,35957,"Cyfluthrin",NA
"DNTGF2019","28","28","Cymoxanil","57966-95-7","DTXSID6032358","EPAPLT0167D07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,32358,"Cymoxanil",NA
"DNTGF2019","29","29","Cypermethrin","52315-07-8","DTXSID1023998","EPAPLT0167G05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190904",NA,NA,NA,NA,NA,"",NA,NA,NA,23998,"Cypermethrin",NA
"DNTGF2019","3","3","5-Azacytidine","320-67-2","DTXSID9020116","EPAPLT0167A06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,20116,"5-Azacytidine",NA
"DNTGF2019","3 Glufosinate-P Technical","Glufosinate-P","Glufosinate-P","35597-44-5","DTXSID401020544","EX000373","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA,"20190710,20190724","3","-","-","EX000373",NA,"",NA,NA,NA,1020544,"Glufosinate-P",NA
"DNTGF2019","31","31","Cytarabine hydrochloride","69-74-9","DTXSID5024891","EPAPLT0167E09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190904",NA,NA,NA,NA,NA,"",NA,NA,NA,24891,"Cytarabine hydrochloride",NA
"DNTGF2019","33","33","Dexamethasone","50-02-2","DTXSID3020384","EPAPLT0169F08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190904",NA,NA,NA,NA,NA,"",NA,NA,NA,20384,"Dexamethasone",NA
"DNTGF2019","34","34","D-Glucitol","50-70-4","DTXSID5023588","EPAPLT0169A05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190904",NA,NA,NA,NA,NA,"",NA,NA,NA,23588,"D-Glucitol",NA
"DNTGF2019","35","35","Diazinon","333-41-5","DTXSID9020407","EPAPLT0170D06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190904",NA,NA,NA,NA,NA,"",NA,NA,NA,20407,"Diazinon",NA
"DNTGF2019","36","36","Dimethoate","60-51-5","DTXSID7020479","EPAPLT0167G06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,20479,"Dimethoate",NA
"DNTGF2019","37","37","Dinotefuran","165252-70-0","DTXSID7034549","EPAPLT0167H01",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,34549,"Dinotefuran",NA
"DNTGF2019","38","38","Disulfoton","298-04-4","DTXSID0022018","EPAPLT0167C04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190904",NA,NA,NA,NA,NA,"",NA,NA,NA,22018,"Disulfoton",NA
"DNTGF2019","4 Glufosinate-P Technical","Glufosinate-P","Glufosinate-P","35597-44-5","DTXSID401020544","EX000372","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA,"20190710,20190724","2","-","-","EX000372",NA,"",NA,NA,NA,1020544,"Glufosinate-P",NA
"DNTGF2019","40","40","Doxylamine succinate","562-10-7","DTXSID7020552","EPAPLT0167E08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,20552,"Doxylamine succinate",NA
"DNTGF2019","44","44","Ethylene thiourea","96-45-7","DTXSID5020601","EPAPLT0167C11",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,20601,"Ethylene thiourea",NA
"DNTGF2019","46","46","Famotidine","76824-35-6","DTXSID5023039","EPAPLT0167C01",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,23039,"Famotidine",NA
"DNTGF2019","47","47","Fenamidone","161326-34-7","DTXSID2034590","EPAPLT0167E02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,34590,"Fenamidone",NA
"DNTGF2019","49","49","Flubendiamide","272451-65-7","DTXSID4047672","EPAPLT0167F09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,47672,"Flubendiamide",NA
"DNTGF2019","5","5","Acephate","30560-19-1","DTXSID8023846","EPAPLT0167A01",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,23846,"Acephate",NA
"DNTGF2019","50","50","Flufenacet","142459-58-3","DTXSID2032552","EPAPLT0167E04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,32552,"Flufenacet",NA
"DNTGF2019","52","52","Galactosamine hydrochloride","1772-03-8","DTXSID4031356","EPAPLT0167B01",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,31356,"Galactosamine hydrochloride",NA
"DNTGF2019","54","54","Heptachlor","76-44-8","DTXSID3020679","EPAPLT0170C04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,20679,"Heptachlor",NA
"DNTGF2019","56","56","Ibuprofen","15687-27-1","DTXSID5020732","EPAPLT0167B06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,20732,"Ibuprofen",NA
"DNTGF2019","58","58","Indoxacarb","173584-44-6","DTXSID1032690","EPAPLT0167E10",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,32690,"Indoxacarb",NA
"DNTGF2019","61","61","Malathion","121-75-5","DTXSID4020791","EPAPLT0167G08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,20791,"Malathion",NA
"DNTGF2019","62","62","Mancozeb","8018-01-7","DTXSID0034695","EPAPLT0167A10",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,34695,"Mancozeb",NA
"DNTGF2019","63","63","1,1-Dimethylpiperidinium chloride","24307-26-4","DTXSID1024170","EPAPLT0167D03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,24170,"1,1-Dimethylpiperidinium chloride",NA
"DNTGF2019","64","64","Metaflumizone","139968-49-3","DTXSID6040373","EPAPLT0167A03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,40373,"Metaflumizone",NA
"DNTGF2019","65","65","Metformin","657-24-9","DTXSID2023270","EPAPLT0167A02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,23270,"Metformin",NA
"DNTGF2019","66","66","Methamidophos","10265-92-6","DTXSID6024177","EPAPLT0167A08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191016",NA,NA,NA,NA,NA,"",NA,NA,NA,24177,"Methamidophos",NA
"DNTGF2019","68","68","Methyl parathion","298-00-0","DTXSID1020855","EPAPLT0167H08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,20855,"Methyl parathion",NA
"DNTGF2019","69","69","Metoprolol","51384-51-1","DTXSID2023309","EPAPLT0167A04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,23309,"Metoprolol",NA
"DNTGF2019","7","7","Acibenzolar-S-methyl","135158-54-2","DTXSID1032519","EPAPLT0167A05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190918",NA,NA,NA,NA,NA,"",NA,NA,NA,32519,"Acibenzolar-S-methyl",NA
"DNTGF2019","70","70","Mifepristone","84371-65-3","DTXSID5023322","EPAPLT0167D09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,23322,"Mifepristone",NA
"DNTGF2019","71","71","Octamethylcyclotetrasiloxane","556-67-2","DTXSID7027205","EPAPLT0167H03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,27205,"Octamethylcyclotetrasiloxane",NA
"DNTGF2019","73","73","Penicillin VK","132-98-9","DTXSID7021102","EPAPLT0167C03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,21102,"Penicillin VK",NA
"DNTGF2019","74","74","Potassium perfluorooctanesulfonate","2795-39-3","DTXSID8037706","EPAPLT0167H09",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,37706,"Potassium perfluorooctanesulfonate",NA
"DNTGF2019","75","75","Pymetrozine","123312-89-0","DTXSID2032637","EPAPLT0167F07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,32637,"Pymetrozine",NA
"DNTGF2019","77","77","Selegiline hydrochloride","14611-52-0","DTXSID9044584","EPAPLT0167E07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,44584,"Selegiline hydrochloride",NA
"DNTGF2019","78","78","Sodium chlorite","7758-19-2","DTXSID8021272","EPAPLT0167B07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,21272,"Sodium chlorite",NA
"DNTGF2019","79","79","Sodium L-glutamate hydrate","6106-04-3","DTXSID0047240","EPAPLT0167D11",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,47240,"Sodium L-glutamate hydrate",NA
"DNTGF2019","8","8","Allethrin","584-79-2","DTXSID8035180","EPAPLT0167B05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,35180,"Allethrin",NA
"DNTGF2019","80","80","Spirodiclofen","148477-71-8","DTXSID6034928","EPAPLT0167D04",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,34928,"Spirodiclofen",NA
"DNTGF2019","81","81","Sulfisoxazole","127-69-5","DTXSID6021292","EPAPLT0167C06",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191030",NA,NA,NA,NA,NA,"",NA,NA,NA,21292,"Sulfisoxazole",NA
"DNTGF2019","82","82","tau-Fluvalinate","102851-06-9","DTXSID7037555","EPAPLT0167G07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191113",NA,NA,NA,NA,NA,"",NA,NA,NA,37555,"tau-Fluvalinate",NA
"DNTGF2019","83","83","Tembotrione","335104-84-2","DTXSID5047037","EPAPLT0167H07",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191113",NA,NA,NA,NA,NA,"",NA,NA,NA,47037,"Tembotrione",NA
"DNTGF2019","84","84","tert-Butylphenyl diphenyl phosphate","56803-37-3","DTXSID6024701","EPAPLT0169B03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191113",NA,NA,NA,NA,NA,"",NA,NA,NA,24701,"tert-Butylphenyl diphenyl phosphate",NA
"DNTGF2019","88","88","Topramezone","210631-68-8","DTXSID0034722","EPAPLT0167D10",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191113",NA,NA,NA,NA,NA,"",NA,NA,NA,34722,"Topramezone",NA
"DNTGF2019","89","89","Tri-allate","2303-17-5","DTXSID5024344","EPAPLT0167F05",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191113",NA,NA,NA,NA,NA,"",NA,NA,NA,24344,"Tri-allate",NA
"DNTGF2019","9","9","alpha-Cypermethrin","67375-30-8","DTXSID7041201","EPAPLT0167F02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20190807",NA,NA,NA,NA,NA,"",NA,NA,NA,41201,"alpha-Cypermethrin",NA
"DNTGF2019","90","90","Triamcinolone","124-94-7","DTXSID1040742","EPAPLT0167F08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191113",NA,NA,NA,NA,NA,"",NA,NA,NA,40742,"Triamcinolone",NA
"DNTGF2019","93","93","Trichlorfon","52-68-6","DTXSID0021389","EPAPLT0170D03",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191113",NA,NA,NA,NA,NA,"",NA,NA,NA,21389,"Trichlorfon",NA
"DNTGF2019","94","94","Tri-o-cresyl phosphate","78-30-8","DTXSID6032192","EPAPLT0167B02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191113",NA,NA,NA,NA,NA,"",NA,NA,NA,32192,"Tri-o-cresyl phosphate",NA
"DNTGF2019","97","97","Tris(2-chloroisopropyl)phosphate","13674-84-5","DTXSID5026259","EPAPLT0167C08",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191113",NA,NA,NA,NA,NA,"",NA,NA,NA,26259,"Tris(2-chloroisopropyl)phosphate",NA
"DNTGF2019","99","99","Warfarin","81-81-2","DTXSID5023742","EPAPLT0167D02",NA,"All Assays_list_toxcast_OECD 20190524.xlsx",NA,"20191113",NA,NA,NA,NA,NA,"",NA,NA,NA,23742,"Warfarin",NA
"DNTGF2019","Glufosinate Ammonium","Glufosinate-ammonium","Glufosinate-ammonium","77182-82-2","DTXSID1024120","EX000371","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA,"20190710,20190724","1","-","-","EX000371",NA,"",NA,NA,NA,24120,"Glufosinate-ammonium",NA
"DNTGF2019","Glyphosate","Glyphosate","Glyphosate","1071-83-6","DTXSID1024122","EX000408","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA,"20190710,20190724","38","-","-","EX000408",NA,"",NA,NA,NA,24122,"Glyphosate","Water"
"DNTGF2019","L-Glufosinate Ammonium","Glufosinate-P ammonium","Glufosinate-P ammonium","73777-50-1","DTXSID101020545","EX000374","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA,"20190710,20190724,20190904","4","-","-","EX000374",NA,"",NA,NA,NA,1020545,"Glufosinate-P ammonium",NA
"DNTGF2019","Loperamide","4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","34552-83-5","DTXSID00880006","EX000411","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx",NA,"20190710,20190724,20191113","41","-","-","EX000411",NA,"",NA,NA,NA,880006,"4-(4-Chlorophenyl)-4-hydroxy-N,N-dimethyl-alpha,alpha-diphenylpiperidine-1-butyramide monohydrochloride","DMSO"
"Frank2017","1-2-PropyleneGlycol","1,2-Propylene glycol","1,2-Propylene glycol","57-55-6","DTXSID0021206","EX000516","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128","1","-","-","EX000516",NA,"",NA,NA,NA,21206,"1,2-Propylene glycol","DMSO"
"Frank2017","5-Fluorouracil","5-Fluorouracil","5-Fluorouracil","51-21-8","DTXSID2020634","EX000412","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140910","42","-","-","EX000412",NA,"",NA,NA,NA,20634,"5-Fluorouracil","DMSO"
"Frank2017","Acetaminophen","Acetaminophen","Acetaminophen","103-90-2","DTXSID2020006","EX000404","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140827,20141112,20141203,20150805,20150819","34","-","-","EX000404",NA,"",NA,NA,NA,20006,"Acetaminophen","Water"
"Frank2017","Acetamiprid","Acetamiprid","Acetamiprid","135410-20-7","DTXSID0034300","EX000521","DNT_EXTRA2","EPA_ES204_EPA-Shafer_12_20200117_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128","6","-","-","EX000521",NA,"",NA,NA,NA,34300,"Acetamiprid","DMSO"
"Frank2017","Acrylamide","Acrylamide","Acrylamide","79-06-1","DTXSID5020027","EX000427","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150401","57","-","-","EX000427",NA,"",NA,NA,NA,20027,"Acrylamide","DMSO"
"Frank2017","Aldicarb","Aldicarb","Aldicarb","116-06-3","DTXSID0039223","EX000429","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150128","59","-","-","EX000429",NA,"",NA,NA,NA,39223,"Aldicarb","DMSO"
"Frank2017","Aminonicotinamide","Aminonicotinamide","6-Aminonicotinamide","329-89-5","DTXSID5051446","EX000424","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150819","54","-","-","EX000424",NA,"",NA,NA,NA,51446,"6-aminopyridine-3-carboxamide","DMSO"
"Frank2017","Amoxacillin","Amoxicillin","Amoxicillin","26787-78-0","DTXSID3037044","EX000399","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140924","29","-","-","EX000399",NA,"",NA,NA,NA,37044,"Amoxicillin","DMSO"
"Frank2017","Amphetamine","Amphetamine","Dextroamphetamine sulfate","51-63-8","DTXSID2057865","EX000402","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150819","32","-","-","EX000402",NA,"",NA,NA,NA,57865,"Dextroamphetamine sulfate","Water"
"Frank2017","Bis (2-ethylhexyl) phthalate-DEHP,DEHP","Bis (2-ethylhexyl) phthalate (DEHP)","Di(2-ethylhexyl) phthalate","117-81-7","DTXSID5020607","EX000422","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; DEHP in 20140827, longer name in 20141112","20140827,20141112","52","-","-","EX000422",NA,"",NA,NA,NA,20607,"Di(2-ethylhexyl) phthalate","DMSO"
"Frank2017","Bis(tri-n-butylin) oxide","Bis(tri-n-butylin) oxide","Bis(tributyltin)oxide","56-35-9","DTXSID9020166","EX000447","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20150819","77","-","-","EX000447",NA,"",NA,NA,NA,20166,"Bis(tributyltin)oxide","DMSO"
"Frank2017","Bis1","Bisindolylmaleimide I (Bis 1)","Bisindolylmaleimide I","133052-90-1","DTXSID50157932","EX000475","DNT_EXTRA","EPA_ES203_EPA-Shafer_42_20200110_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20141203","2","-","-","EX000475",NA,"",NA,NA,NA,157932,"Bisindolylmaleimide I","DMSO"
"Frank2017","Bisphenol A","Bisphenol A","Bisphenol A","80-05-7","DTXSID7020182","EX000420","HTP_LOG","EPA_ES202_EPA-Shafer_103_20191218_key.xlsx","Table1 links updated_treatment_name to correct casn; ","20140827,20141112","50","-","-","EX000420",NA,"",NA,NA,NA,20182,"Bisphenol A","DMSO"
