"date","Plate.SN","well","treatment","dose","units","wllq_by_well","wllq_notes_by_well","wt.mean.resistance_auc"
"20220209","MW89-4616","A7","Tributyltin Chloride","0.03","uM","1","","259.705723"
"20211103","MW507214B","B1","Tributyltin Chloride","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","237.912245"
"20220209","MW89-4613","B7","Tributyltin Chloride","0.03","uM","1","","252.44909"
"20211103","MW502622B","C1","Tributyltin Chloride","0.03","uM","1","","224.315658"
"20220209","MW89-4615","C7","Tributyltin Chloride","0.03","uM","1","","260.355342"
"20211103","MW502622B","A3","Deltamethrin","0.1","uM","1","","250.675883"
"20220209","MW89-4615","A3","Deltamethrin","0.1","uM","1","","239.855074"
"20211103","MW502622D","B3","Deltamethrin","0.1","uM","1","","203.825928"
"20220209","MW89-4616","B3","Deltamethrin","0.1","uM","1","","219.187208"
"20211103","MW507214B","C3","Deltamethrin","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","225.81642"
"20220209","MW89-4613","C3","Deltamethrin","0.1","uM","1","","215.76905"
"20211103","MW507214B","D3","Glyphosate","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","244.753038"
"20220209","MW89-4613","D3","Glyphosate","0.1","uM","1","","221.488425"
"20211103","MW502622B","E3","Glyphosate","0.1","uM","1","","234.862742"
"20220209","MW89-4615","E3","Glyphosate","0.1","uM","1","","227.491808"
"20211103","MW502622D","F3","Glyphosate","0.1","uM","1","","237.554852"
"20220209","MW89-4616","F3","Glyphosate","0.1","uM","1","","198.129544"
"20211103","MW502622D","D3","Lindane","0.1","uM","1","","230.205587"
"20220209","MW89-4616","D3","Lindane","0.1","uM","1","","205.740748"
"20211103","MW507214B","E3","Lindane","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","223.351631"
"20220209","MW89-4613","E3","Lindane","0.1","uM","1","","216.678926"
"20211103","MW502622B","F3","Lindane","0.1","uM","1","","182.830306"
"20220209","MW89-4615","F3","Lindane","0.1","uM","1","","203.163234"
"20211103","MW502622B","D3","Rotenone","0.1","uM","1","","133.191755"
"20211103","MW502622D","E3","Rotenone","0.1","uM","1","","134.216765"
"20211103","MW507214B","F3","Rotenone","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","102.142628"
"20211103","MW507214B","A3","Thiamethoxam","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","224.478054"
"20220209","MW89-4613","A3","Thiamethoxam","0.1","uM","1","","227.934479"
"20211103","MW502622B","B3","Thiamethoxam","0.1","uM","1","","233.850818"
"20220209","MW89-4615","B3","Thiamethoxam","0.1","uM","1","","226.325858"
"20211103","MW502622D","C3","Thiamethoxam","0.1","uM","1","","185.320803"
"20220209","MW89-4616","C3","Thiamethoxam","0.1","uM","1","","228.038136"
"20211103","MW502622D","A3","Tributyltin Chloride","0.1","uM","1","","155.347809"
"20220209","MW89-4616","A8","Tributyltin Chloride","0.1","uM","1","","84.595064"
"20211103","MW507214B","B3","Tributyltin Chloride","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","67.500868"
"20220209","MW89-4613","B8","Tributyltin Chloride","0.1","uM","1","","71.113391"
"20211103","MW502622B","C3","Tributyltin Chloride","0.1","uM","1","","73.795864"
"20220209","MW89-4615","C8","Tributyltin Chloride","0.1","uM","1","","73.303694"
"20211103","MW502622B","A4","Deltamethrin","0.3","uM","1","","212.181468"
"20220209","MW89-4615","A4","Deltamethrin","0.3","uM","1","","229.757233"
"20211103","MW502622D","B4","Deltamethrin","0.3","uM","1","","236.087444"
"20220209","MW89-4616","B4","Deltamethrin","0.3","uM","1","","213.826049"
"20211103","MW507214B","C4","Deltamethrin","0.3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","223.005133"
"20220209","MW89-4613","C4","Deltamethrin","0.3","uM","1","","230.996878"
"20211103","MW507214B","D4","Glyphosate","0.3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","227.102897"
"20220209","MW89-4613","D4","Glyphosate","0.3","uM","1","","199.640477"
"20211103","MW502622B","E4","Glyphosate","0.3","uM","1","","224.690447"
"20220209","MW89-4615","E4","Glyphosate","0.3","uM","1","","250.913353"
"20211103","MW502622D","F4","Glyphosate","0.3","uM","1","","206.434194"
"20220209","MW89-4616","F4","Glyphosate","0.3","uM","1","","205.459984"
"20211103","MW502622D","D4","Lindane","0.3","uM","1","","257.58416"
"20220209","MW89-4616","D4","Lindane","0.3","uM","1","","203.536582"
"20211103","MW507214B","E4","Lindane","0.3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","228.866901"
"20220209","MW89-4613","E4","Lindane","0.3","uM","1","","208.140447"
"20211103","MW502622B","F4","Lindane","0.3","uM","1","","196.891356"
"20220209","MW89-4615","F4","Lindane","0.3","uM","1","","206.681648"
"20211103","MW502622B","D4","Rotenone","0.3","uM","1","","121.718865"
"20211103","MW502622D","E4","Rotenone","0.3","uM","1","","111.538905"
"20211103","MW507214B","F4","Rotenone","0.3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","106.750393"
"20211103","MW507214B","A4","Thiamethoxam","0.3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","221.09241"
"20220209","MW89-4613","A4","Thiamethoxam","0.3","uM","1","","206.435548"
"20211103","MW502622B","B4","Thiamethoxam","0.3","uM","1","","242.091404"
"20220209","MW89-4615","B4","Thiamethoxam","0.3","uM","1","","258.108096"
"20211103","MW502622D","C4","Thiamethoxam","0.3","uM","1","","231.873556"
"20220209","MW89-4616","C4","Thiamethoxam","0.3","uM","1","","222.131357"
"20211103","MW502622D","A4","Tributyltin Chloride","0.3","uM","1","","57.326993"
"20211103","MW507214B","B4","Tributyltin Chloride","0.3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","26.995348"
"20211103","MW502622B","C4","Tributyltin Chloride","0.3","uM","1","","43.626416"
"20211103","MW502622B","A5","Deltamethrin","1","uM","1","","208.220085"
"20220209","MW89-4615","A5","Deltamethrin","1","uM","1","","202.832202"
"20211103","MW502622D","B5","Deltamethrin","1","uM","1","","203.836686"
"20220209","MW89-4616","B5","Deltamethrin","1","uM","1","","195.266212"
"20211103","MW507214B","C5","Deltamethrin","1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","242.074348"
"20220209","MW89-4613","C5","Deltamethrin","1","uM","1","","215.166948"
"20211103","MW507214B","D5","Glyphosate","1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","232.993324"
"20220209","MW89-4613","D5","Glyphosate","1","uM","1","","228.710546"
"20211103","MW502622B","E5","Glyphosate","1","uM","1","","205.517161"
"20220209","MW89-4615","E5","Glyphosate","1","uM","1","","221.204627"
"20211103","MW502622D","F5","Glyphosate","1","uM","1","","223.181276"
"20220209","MW89-4616","F5","Glyphosate","1","uM","1","","226.507604"
"20211103","MW502622D","D5","Lindane","1","uM","1","","271.12696"
"20220209","MW89-4616","D5","Lindane","1","uM","1","","228.057149"
"20211103","MW507214B","E5","Lindane","1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","229.730093"
"20220209","MW89-4613","E5","Lindane","1","uM","1","","193.17537"
"20211103","MW502622B","F5","Lindane","1","uM","1","","184.412739"
"20220209","MW89-4615","F5","Lindane","1","uM","1","","121.148508"
"20211103","MW502622B","D5","Rotenone","1","uM","1","","139.793622"
"20211103","MW502622D","E5","Rotenone","1","uM","1","","89.681048"
"20211103","MW507214B","F5","Rotenone","1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","132.772308"
"20211103","MW507214B","A5","Thiamethoxam","1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","232.617608"
"20220209","MW89-4613","A5","Thiamethoxam","1","uM","1","","214.801156"
"20211103","MW502622B","B5","Thiamethoxam","1","uM","1","","252.686348"
"20220209","MW89-4615","B5","Thiamethoxam","1","uM","1","","214.858777"
"20211103","MW502622D","C5","Thiamethoxam","1","uM","1","","222.621983"
"20220209","MW89-4616","C5","Thiamethoxam","1","uM","1","","204.118118"
"20211103","MW502622D","A5","Tributyltin Chloride","1","uM","1","","58.767422"
"20211103","MW507214B","B5","Tributyltin Chloride","1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","34.251751"
"20211103","MW502622B","C5","Tributyltin Chloride","1","uM","1","","77.917469"
"20211103","MW502622B","A7","Deltamethrin","10","uM","1","","211.365096"
"20220209","MW89-4615","A7","Deltamethrin","10","uM","1","","267.165906"
"20211103","MW502622D","B7","Deltamethrin","10","uM","1","","173.80283"
"20220209","MW89-4616","B7","Deltamethrin","10","uM","1","","270.936146"
"20211103","MW507214B","C7","Deltamethrin","10","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","112.835332"
"20220209","MW89-4613","C7","Deltamethrin","10","uM","1","","237.720188"
"20211103","MW507214B","D7","Glyphosate","10","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","224.663921"
"20220209","MW89-4613","D7","Glyphosate","10","uM","1","","206.691338"
"20211103","MW502622B","E7","Glyphosate","10","uM","1","","221.544764"
"20220209","MW89-4615","E7","Glyphosate","10","uM","1","","222.857196"
"20211103","MW502622D","F7","Glyphosate","10","uM","1","","236.482712"
"20220209","MW89-4616","F7","Glyphosate","10","uM","1","","202.778641"
"20211103","MW502622D","D7","Lindane","10","uM","1","","280.537876"
"20220209","MW89-4616","D7","Lindane","10","uM","1","","209.906794"
"20211103","MW507214B","E7","Lindane","10","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","216.197074"
"20220209","MW89-4613","E7","Lindane","10","uM","1","","198.782018"
"20211103","MW502622B","F7","Lindane","10","uM","1","","215.847992"
"20220209","MW89-4615","F7","Lindane","10","uM","1","","164.97446"
"20211103","MW502622B","D7","Rotenone","10","uM","1","","43.318942"
"20211103","MW502622D","E7","Rotenone","10","uM","1","","58.626346"
"20211103","MW507214B","F7","Rotenone","10","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","26.074453"
"20211103","MW507214B","A7","Thiamethoxam","10","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","123.144206"
"20220209","MW89-4613","A7","Thiamethoxam","10","uM","1","","191.252344"
"20211103","MW502622B","B7","Thiamethoxam","10","uM","1","","129.122725"
"20220209","MW89-4615","B7","Thiamethoxam","10","uM","1","","245.059816"
"20211103","MW502622D","C7","Thiamethoxam","10","uM","1","","235.32612"
"20220209","MW89-4616","C7","Thiamethoxam","10","uM","1","","227.805549"
"20211103","MW502622D","A7","Tributyltin Chloride","10","uM","1","","60.380754"
"20211103","MW507214B","B7","Tributyltin Chloride","10","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","44.414894"
"20211103","MW502622B","C7","Tributyltin Chloride","10","uM","1","","59.559034"
"20220209","MW89-4615","D3","Rotenone","1e-04","uM","1","","236.062705"
"20220209","MW89-4616","E3","Rotenone","1e-04","uM","1","","233.176522"
"20220209","MW89-4613","F3","Rotenone","1e-04","uM","1","","203.163371"
"20220209","MW89-4616","A1","Tributyltin Chloride","1e-04","uM","1","","226.521312"
"20220209","MW89-4613","B1","Tributyltin Chloride","1e-04","uM","1","","220.361315"
"20220209","MW89-4615","C1","Tributyltin Chloride","1e-04","uM","1","","209.411628"
"20211103","MW502622B","A6","Deltamethrin","3","uM","1","","242.662831"
"20220209","MW89-4615","A6","Deltamethrin","3","uM","1","","224.635803"
"20211103","MW502622D","B6","Deltamethrin","3","uM","1","","271.865098"
"20220209","MW89-4616","B6","Deltamethrin","3","uM","1","","215.446756"
"20211103","MW507214B","C6","Deltamethrin","3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","213.536003"
"20220209","MW89-4613","C6","Deltamethrin","3","uM","1","","212.811565"
"20211103","MW507214B","D6","Glyphosate","3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","228.93042"
"20220209","MW89-4613","D6","Glyphosate","3","uM","1","","208.969942"
"20211103","MW502622B","E6","Glyphosate","3","uM","1","","234.941218"
"20220209","MW89-4615","E6","Glyphosate","3","uM","1","","225.825791"
"20211103","MW502622D","F6","Glyphosate","3","uM","1","","277.569273"
"20220209","MW89-4616","F6","Glyphosate","3","uM","1","","216.376472"
"20211103","MW502622D","D6","Lindane","3","uM","1","","279.184564"
"20220209","MW89-4616","D6","Lindane","3","uM","1","","221.881219"
"20211103","MW507214B","E6","Lindane","3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","220.42834"
"20220209","MW89-4613","E6","Lindane","3","uM","1","","194.314498"
"20211103","MW502622B","F6","Lindane","3","uM","1","","208.690502"
"20220209","MW89-4615","F6","Lindane","3","uM","1","","198.212029"
"20211103","MW502622B","D6","Rotenone","3","uM","1","","79.744105"
"20211103","MW502622D","E6","Rotenone","3","uM","1","","45.085728"
"20211103","MW507214B","F6","Rotenone","3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","75.234838"
"20211103","MW507214B","A6","Thiamethoxam","3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","207.084707"
"20220209","MW89-4613","A6","Thiamethoxam","3","uM","1","","211.129134"
"20211103","MW502622B","B6","Thiamethoxam","3","uM","1","","131.773757"
"20220209","MW89-4615","B6","Thiamethoxam","3","uM","1","","223.095486"
"20211103","MW502622D","C6","Thiamethoxam","3","uM","1","","242.719866"
"20220209","MW89-4616","C6","Thiamethoxam","3","uM","1","","219.661396"
"20211103","MW502622D","A6","Tributyltin Chloride","3","uM","1","","57.709644"
"20211103","MW507214B","B6","Tributyltin Chloride","3","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","25.309175"
"20211103","MW502622B","C6","Tributyltin Chloride","3","uM","1","","45.198651"
"20211103","MW502622B","A8","Deltamethrin","30","uM","1","","124.062794"
"20220209","MW89-4615","A8","Deltamethrin","30","uM","1","","244.286637"
"20211103","MW502622D","B8","Deltamethrin","30","uM","1","","114.881077"
"20220209","MW89-4616","B8","Deltamethrin","30","uM","1","","196.427816"
"20211103","MW507214B","C8","Deltamethrin","30","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","89.659622"
"20220209","MW89-4613","C8","Deltamethrin","30","uM","1","","233.313427"
"20211103","MW507214B","D8","Glyphosate","30","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","186.210975"
"20220209","MW89-4613","D8","Glyphosate","30","uM","1","","169.523803"
"20211103","MW502622B","E8","Glyphosate","30","uM","1","","160.524554"
"20220209","MW89-4615","E8","Glyphosate","30","uM","1","","203.048688"
"20211103","MW502622D","F8","Glyphosate","30","uM","1","","211.41581"
"20220209","MW89-4616","F8","Glyphosate","30","uM","1","","186.967938"
"20211103","MW502622D","D8","Lindane","30","uM","1","","210.408167"
"20220209","MW89-4616","D8","Lindane","30","uM","1","","191.959948"
"20211103","MW507214B","E8","Lindane","30","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","191.398961"
"20220209","MW89-4613","E8","Lindane","30","uM","1","","181.587301"
"20211103","MW502622B","F8","Lindane","30","uM","1","","200.162124"
"20220209","MW89-4615","F8","Lindane","30","uM","1","","192.321102"
"20211103","MW502622B","D8","Rotenone","30","uM","1","","58.096328"
"20211103","MW502622D","E8","Rotenone","30","uM","1","","29.852201"
"20211103","MW507214B","F8","Rotenone","30","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","30.037802"
"20211103","MW507214B","A8","Thiamethoxam","30","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","140.203822"
"20220209","MW89-4613","A8","Thiamethoxam","30","uM","1","","224.674781"
"20211103","MW502622B","B8","Thiamethoxam","30","uM","1","","107.548851"
"20220209","MW89-4615","B8","Thiamethoxam","30","uM","1","","240.831606"
"20211103","MW502622D","C8","Thiamethoxam","30","uM","1","","247.634627"
"20220209","MW89-4616","C8","Thiamethoxam","30","uM","1","","208.82991"
"20211103","MW502622D","A8","Tributyltin Chloride","30","uM","1","","61.597266"
"20211103","MW507214B","B8","Tributyltin Chloride","30","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D;","46.182105"
"20211103","MW502622B","C8","Tributyltin Chloride","30","uM","1","","60.743199"
"20220209","MW89-4615","D4","Rotenone","3e-04","uM","1","","233.143413"
"20220209","MW89-4616","E4","Rotenone","3e-04","uM","1","","224.636328"
"20220209","MW89-4613","F4","Rotenone","3e-04","uM","1","","190.664942"
"20220209","MW89-4616","A3","Tributyltin Chloride","3e-04","uM","1","","206.978928"
"20220209","MW89-4613","B3","Tributyltin Chloride","3e-04","uM","1","","212.028571"
"20220209","MW89-4615","C3","Tributyltin Chloride","3e-04","uM","1","","196.573542"
"20220209","MW89-4615","D1","Rotenone","3e-05","uM","1","","220.950636"
"20220209","MW89-4616","E1","Rotenone","3e-05","uM","1","","206.624035"
"20220209","MW89-4613","F1","Rotenone","3e-05","uM","1","","192.686194"
