"date","Plate.SN","well","treatment","dose","units","wllq_by_well","wllq_notes_by_well","meanfiringrate_auc","burst.per.min_auc","mean.isis_auc","per.spikes.in.burst_auc","mean.dur_auc","mean.IBIs_auc","nAE_auc","nABE_auc","ns.n_auc","ns.peak.m_auc","ns.durn.m_auc","ns.percent.of.spikes.in.ns_auc","ns.mean.insis_auc","ns.durn.sd_auc","ns.mean.spikes.in.ns_auc","r_auc","mi_auc"
"20220209","MW89-4616","C2","DMSO","0","uM","1","",5.52307,6.396039,0.340625,452.761821,8.303607,268.521964,80.5,60,70,81.95,1.689502,80.844808,617.122249,0.28539,792.05,2.358354,0.052245
"20211103","MW502622B","D2","DMSO","0","uM","1","",5.990186,7.255625,0.138148,135.904594,2.728563,300.449656,43,26.5,58.5,50.269608,0.907763,18.790598,333.05,0.180412,227.794118,0.515758,0.024591
"20220209","MW89-4615","D2","DMSO","0","uM","1","",8.853224,7.802163,0.281108,307.810967,4.026367,210.73955,92.5,41.5,106,84.074359,1.609946,63.199071,977.997348,0.483031,740.274359,1.716961,0.065337
"20211103","MW502622D","E2","DMSO","0","uM","1","",2.964848,2.994545,0.044042,57.6015,0.714273,50.846591,21.5,16.5,27,19.083333,0.240227,17.171911,49.751471,0.049098,149.166667,0.222552,0.007675
"20220209","MW89-4616","E2","DMSO","0","uM","1","",6.021271,6.183956,0.052324,349.637882,2.372401,195.668025,87,54.5,108.5,89.471154,1.37629,148.678605,584.391447,0.165638,856.633654,2.66431,0.077542
"20211103","MW507214B","F2","DMSO","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",5.812869,4.17625,0.216703,88.5082,1.6805,241.51895,41.25,23.75,31.5,49,0.686877,11.282211,749.99375,0.101009,220.142857,0.333599,0.009165
"20220209","MW89-4613","F2","DMSO","0","uM","1","",4.509665,5.001136,0.051055,352.566591,1.889182,262.297636,45.5,44,115.5,51.258065,1.157029,99.561384,250.874436,0.233975,516.387097,2.012038,0.071516
"20211103","MW502622D","D2","EtOH","0","uM","1","",3.644591,5.436429,0.039526,98.820321,0.799607,34.701214,26,21,84,19.044643,0.333339,32.044561,20.807727,0.077161,148.446429,0.422708,0.022218
"20220209","MW89-4616","D2","EtOH","0","uM","1","",6.720947,5.980714,0.396334,371.74125,4.364786,202.476036,70.5,35.5,67,83.704545,1.174152,76.847449,998.119156,0.213561,706.011364,1.886058,0.044659
"20211103","MW507214B","E2","EtOH","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",6.993997,5.610625,0.245102,67.7497,2.3514,241.33295,41.25,23.75,19.5,49,0.749201,9.781816,755.04375,0.127932,246.576923,0.157379,0.00556
"20220209","MW89-4613","E2","EtOH","0","uM","1","",6.710276,8.3145,0.403094,435.506281,6.293813,310.196625,74,66,73.5,95.318182,1.350366,78.188682,1187.280556,0.375405,867.834416,2.130407,0.062736
"20211103","MW502622B","F2","EtOH","0","uM","1","",0.998843,0.758571,0.012502,102.2292,0.165,126.9981,15.5,7.5,13.5,16.166667,0.166691,51.223881,123.778125,0.024026,95.333333,0.492387,0.00047
"20220209","MW89-4615","F2","EtOH","0","uM","1","",3.922794,3.819333,0.089374,277.540625,2.376062,214.799562,39.5,14.5,89.5,42.811321,1.095949,89.471804,339.391827,0.34064,429.851415,1.656286,0.05269
"20211103","MW502622B","A2","EtOH:DMSO","0","uM","1","",5.850551,4.578,0.230194,29.73975,1.6975,34.79775,22.5,9,0,0,0,0,0,0,0,-0.003635,2.2e-05
"20220209","MW89-4615","A2","EtOH:DMSO","0","uM","1","",7.33711,5.816571,0.065323,357.268239,2.767209,280.074752,61,42,125,52.116071,1.258394,64.664952,308.706522,0.18537,416.207143,1.791369,0.078777
"20211103","MW502622D","B2","EtOH:DMSO","0","uM","1","",4.489629,6.823125,0.208437,113.988094,1.463906,235.046875,34,26.5,60,24,0.270312,26.734661,30.890385,0.03993,204.7875,0.408343,0.017133
"20220209","MW89-4616","B2","EtOH:DMSO","0","uM","1","",7.076631,7.33125,0.360507,392.179835,5.569183,240.159429,80,61,78,94.666667,1.597949,71.100899,612.99375,0.180943,913.59596,2.116095,0.084299
"20211103","MW507214B","C2","EtOH:DMSO","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",3.266868,3.56875,0.226681,77.950594,2.586406,275.110312,30.25,25.25,16.5,49,0.752758,13.528561,827.855,0.150623,285.136364,0.246247,0.009898
"20220209","MW89-4613","C2","EtOH:DMSO","0","uM","1","",4.010172,4.311,0.075187,216.10165,2.7678,162.6773,53,17.5,82,71.460961,1.119212,120.671126,881.398958,0.208884,634.27027,2.29758,0.051447
"20211103","MW507214B","D2","H2O","0","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",11.755491,5.42875,0.971132,90.6165,12.525,389.727,39.25,14.75,7.5,49,0.713511,5.698352,786.875,0.125359,231.3,0.170373,0.003976
"20220209","MW89-4613","D2","H2O","0","uM","1","",5.6109,5.959625,0.246302,353.831281,4.72425,277.331594,94,48,93.5,90.791667,1.348883,88.12328,579.073571,0.358693,833.185606,2.446678,0.057574
"20211103","MW502622B","E2","H2O","0","uM","1","",4.799353,11.2125,0.234217,175.531344,1.812688,122.507625,36.5,29,62,39.684211,0.765276,23.34301,1136.371622,0.226521,207.828947,0.401705,0.019142
"20220209","MW89-4615","E2","H2O","0","uM","1","",9.01803,7.350667,0.048919,329.64244,2.13481,233.568262,80.5,58.5,124.5,85.954918,1.621129,107.993554,593.197639,0.239499,881.930328,2.281854,0.096793
"20211103","MW502622D","F2","H2O","0","uM","1","",3.814932,3.405,0.057196,70.5705,0.46875,78.594,16,3,10.5,14.571429,0.17496,16.272779,175.425,0.028973,81.642857,0.215441,0.001502
"20220209","MW89-4616","F2","H2O","0","uM","1","",5.376407,5.106429,0.08294,307.578667,2.810821,201.800655,64.5,28.5,104.5,58.84434,1.268099,75.295515,231.30625,0.472083,456.801887,1.838825,0.05547
"20220209","MW89-4615","D5","Rotenone","0.001","uM","1","",4.974206,4.6935,0.043987,347.06375,1.69745,281.67365,93.5,47.5,72.5,93.75,1.767055,108.812415,691.107184,0.154515,968.042857,2.44878,0.056769
"20220209","MW89-4616","E5","Rotenone","0.001","uM","1","",6.448844,7.338791,0.102588,454.545595,3.546788,386.781086,84.5,73,109,90.102273,1.504382,111.959847,406.409205,0.20614,873.27399,2.393792,0.078973
"20220209","MW89-4613","F5","Rotenone","0.001","uM","1","",8.876225,7.146923,0.348831,350.279808,4.716538,338.8995,58.5,54,94.5,75.074675,1.580658,75.35817,1595.392378,0.462875,677.646104,1.99979,0.071662
"20220209","MW89-4616","A4","Tributyltin Chloride","0.001","uM","1","",9.026961,7.595,0.046973,312.505091,3.066682,299.336318,44.5,29,144,74.5,1.500429,77.340293,245.644589,0.366947,587.269231,2.047052,0.095698
"20220209","MW89-4613","B4","Tributyltin Chloride","0.001","uM","1","",4.6855,4.30125,0.062483,325.897964,2.609988,271.850417,74.5,58.5,77.5,94.779412,1.428968,127.406644,999.838352,0.221912,879.331699,1.900539,0.059866
"20220209","MW89-4615","C4","Tributyltin Chloride","0.001","uM","1","",4.154469,3.39392,0.066995,317.496271,3.284177,264.129083,86,31.5,54.5,95.9375,1.870089,90.363205,1031.474457,0.206703,1093.854167,2.339814,0.052847
"20220209","MW89-4615","D6","Rotenone","0.003","uM","1","",6.943453,8.086896,0.170426,454.671,4.071667,370.886167,81.5,54,133.5,80.845865,1.54293,123.62072,384.671809,0.295894,739.611137,2.835836,0.085497
"20220209","MW89-4616","E6","Rotenone","0.003","uM","1","",8.259027,9.377714,0.138294,424.528714,3.588807,414.037064,86.5,71.5,139.5,89.570261,1.30128,111.462803,400.77746,0.153461,818.5,2.343261,0.075374
"20220209","MW89-4613","F6","Rotenone","0.003","uM","1","",6.949798,6.445769,0.04457,345.845337,2.04924,256.145817,56.5,50.5,108.5,77.566038,1.602932,87.345741,996.155556,0.360765,626.188679,2.266501,0.085644
"20220209","MW89-4616","A5","Tributyltin Chloride","0.003","uM","1","",9.877354,5.756,0.198925,296.252344,4.481594,360.138,81.5,51,97,91.0675,2.199003,58.421642,293.380612,0.529757,1138.5875,1.898474,0.101787
"20220209","MW89-4613","B5","Tributyltin Chloride","0.003","uM","1","",6.248726,6.974,0.20798,380.636633,2.9468,350.139533,78.5,64,104.5,91.981383,1.290314,107.973799,632.173271,0.227165,921.832447,2.018079,0.067986
"20220209","MW89-4615","C5","Tributyltin Chloride","0.003","uM","1","",5.322657,7.054154,0.149305,461.482857,3.182929,356.861964,86,60,105,78.707207,1.525774,122.960644,500.203036,0.413504,799.603604,2.845531,0.080881
"20220209","MW89-4615","D7","Rotenone","0.01","uM","1","",7.036239,10.827375,0.275848,495.9627,4.1675,251.802,88.5,62,115.5,94.291667,1.553254,84.140454,746.656163,0.207107,872.669811,2.244944,0.085279
"20220209","MW89-4616","E7","Rotenone","0.01","uM","1","",7.299525,6.204375,0.059829,348.816031,3.541281,239.157406,92.5,64,110,94.666667,1.487485,88.634759,477.294048,0.301528,841.972868,2.57807,0.095797
"20220209","MW89-4613","F7","Rotenone","0.01","uM","1","",6.867093,6.292286,0.061212,274.2669,2.4764,214.7377,65.5,35,110,79.714286,1.758157,99.995993,799.032403,0.362987,849.583333,2.297919,0.092824
"20220209","MW89-4616","A6","Tributyltin Chloride","0.01","uM","1","",8.705321,7.821333,0.036484,336.3664,1.7171,239.849633,80.5,60,115,60.55,1.408904,62.196356,250.581403,0.205012,623.175,2.224926,0.104726
"20220209","MW89-4613","B6","Tributyltin Chloride","0.01","uM","1","",8.317028,9.568125,0.15974,372.566625,2.557769,267.35315,72,64.5,132.5,83.948925,1.534848,79.365272,170.591306,0.207665,681.80914,1.863537,0.08455
"20220209","MW89-4615","C6","Tributyltin Chloride","0.01","uM","1","",9.637525,11.039221,0.287204,600.112,3.552143,656.56125,85.5,60.5,146.5,79.482919,1.760667,73.242774,677.887491,0.442001,681.652174,2.019516,0.101828
"20211103","MW502622B","A1","Deltamethrin","0.03","uM","1","",10.483981,5.2425,0.239181,63.5175,2.99025,55.461,15,3,0,0,0,0,0,0,0,0.002961,1.7e-05
"20220209","MW89-4615","A1","Deltamethrin","0.03","uM","1","",5.168338,5.738571,0.096957,285.684643,2.222929,224.841643,31,13,103,45.25,1.632357,94.390652,874.252381,0.228644,372.9375,2.246505,0.05369
"20211103","MW502622D","B1","Deltamethrin","0.03","uM","1","",1.865425,1.568571,0.03045,108.1335,0.45675,72.09025,15.5,9,24,16.40625,0.18615,41.013531,74.59,0.026098,100.40625,0.577407,0.008127
"20220209","MW89-4616","B1","Deltamethrin","0.03","uM","1","",6.637532,8.83125,0.063825,332.364531,2.144,256.682406,76,64,144.5,94.9125,1.431336,75.953233,255.316456,0.297044,782.561111,1.820074,0.067221
"20211103","MW507214B","C1","Deltamethrin","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",4.696685,3.620625,0.039532,75.857036,0.580714,53.453679,29.75,21,19.5,23.884615,0.283835,11.943342,70.26875,0.033998,250.038462,0.264396,0.008259
"20220209","MW89-4613","C1","Deltamethrin","0.03","uM","1","",7.126677,6.457846,0.221909,352.636215,3.478738,351.933885,59,57,84.5,79.128571,1.412144,76.939629,232.724733,0.211442,615.025,1.922361,0.064055
"20211103","MW507214B","D1","Glyphosate","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",2.584411,2.3625,0.093858,30.14125,0.7575,49.7925,27.75,9,9,24,0.23688,7.45002,4.5,0.028104,218,0.1552,0.0038
"20220209","MW89-4613","D1","Glyphosate","0.03","uM","1","",5.438855,3.339375,0.052778,352.144038,3.248423,250.617615,65,32,79,87.759868,1.741725,81.301685,299.849614,0.441331,782.881579,1.906372,0.06581
"20211103","MW502622B","E1","Glyphosate","0.03","uM","1","",3.82212,2.448,0.056295,103.71135,2.3289,119.2758,22.5,15,13.5,16.333333,0.299668,9.997118,166.003125,0.031974,154.166667,0.420956,0.002405
"20220209","MW89-4615","E1","Glyphosate","0.03","uM","1","",5.413704,3.914286,0.074251,315.851552,3.302591,268.388565,69.5,34,87.5,83.539683,1.240221,82.874621,261.059756,0.243421,689.714286,1.919866,0.065437
"20211103","MW502622D","F1","Glyphosate","0.03","uM","1","",2.5639,2.1,0.223183,42.4965,2.88,11.475,4.5,1.5,0,0,0,0,0,0,0,-0.002542,4e-06
"20220209","MW89-4616","F1","Glyphosate","0.03","uM","1","",8.644973,7.499143,0.385078,226.983,4.1276,240.669775,74.5,36.5,88.5,92.558824,1.767872,49.162251,363.4025,0.55111,763.985294,1.675837,0.061608
"20211103","MW502622D","D1","Lindane","0.03","uM","1","",1.351994,0.7575,0,0,0,0,11,0,9,11,0.248333,50.516129,130.47,0.049484,65.25,0.790688,0
"20220209","MW89-4616","D1","Lindane","0.03","uM","1","",6.943486,7.166143,0.065127,351.885179,2.883929,228.630836,77.5,57.5,145,84.202564,1.539371,144.228132,541.624275,0.430986,779.207692,3.018323,0.087851
"20211103","MW507214B","E1","Lindane","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",5.707125,7.332,0.127156,76.913571,2.269071,16.757143,27,10.5,4.5,24,0.281806,1.518878,3.7125,0.059585,228.5,0.021549,0.000938
"20220209","MW89-4613","E1","Lindane","0.03","uM","1","",5.757935,3.928385,0.200961,330.759,2.936906,401.09691,66,44,88,49.318713,1.039254,79.454197,155.019551,0.411293,446.19883,1.878976,0.064085
"20211103","MW502622B","F1","Lindane","0.03","uM","1","",1.266415,0,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0.000413,0
"20220209","MW89-4615","F1","Lindane","0.03","uM","1","",3.287934,2.3,0.028195,142.310167,1.054,93.393833,40,13.5,50.5,40.220779,0.965897,113.846817,348.138095,0.314596,392.88961,2.159457,0.034103
"20211103","MW502622B","D1","Rotenone","0.03","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220209","MW89-4615","D8","Rotenone","0.03","uM","1","",7.944167,10.524286,0.325415,231.320286,4.318964,143.870738,50.5,28.5,44,71.9,1.499837,35.351217,988.590625,0.155697,599.46,0.801742,0.042086
"20211103","MW502622D","E1","Rotenone","0.03","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220209","MW89-4616","E8","Rotenone","0.03","uM","1","",6.316638,3.107455,0.25386,286.748536,3.928,363.053,60.5,28,45.5,54.772727,1.327485,43.451775,302.926786,0.206486,605.340909,1.629256,0.076186
"20211103","MW507214B","F1","Rotenone","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220209","MW89-4613","F8","Rotenone","0.03","uM","1","",3.714731,1.425,0.025248,117.886333,0.852833,107.989167,20.5,13.5,13.5,16.166667,0.482813,16.472739,125.859375,0.02989,165.166667,0.588961,0.014758
"20211103","MW507214B","A1","Thiamethoxam","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",5.674422,6.67375,0.282761,179.675429,2.467321,65.275893,36,23.5,31.5,24,0.234019,30.217345,38.0625,0.033386,204.571429,0.493727,0.012117
"20220209","MW89-4613","A1","Thiamethoxam","0.03","uM","1","",3.542972,4.41,0.026518,130.59575,0.91925,48.67525,19,9,54.5,28.964286,1.006384,103.30643,499.627083,0.150456,269.696429,2.375754,0.028527
"20211103","MW502622B","B1","Thiamethoxam","0.03","uM","1","",7.24847,5.488571,0.479511,110.4165,4.070125,118.263375,35,8.5,7.5,23.7,0.456394,4.596832,294.7875,0.032656,267.6,0.320258,0.003811
"20220209","MW89-4615","B1","Thiamethoxam","0.03","uM","1","",7.936645,7.086667,0.060033,303.000167,2.0188,232.965533,78,60,102.5,87.117347,1.456171,60.857779,890.237847,0.188116,689.076531,1.616577,0.067086
"20211103","MW502622D","C1","Thiamethoxam","0.03","uM","1","",9.445327,11.417727,0.409952,264.018,3.805313,216.450813,31,16.5,12,17.8125,0.308258,11.994728,176.346429,0.036017,136.5,0.465226,0.003392
"20220209","MW89-4616","C1","Thiamethoxam","0.03","uM","1","",6.944628,8.342514,0.073052,302.764281,2.155375,195.56775,87,58,139.5,84.940702,1.378975,87.888562,898.002203,0.396864,777.905598,1.680942,0.076963
"20211103","MW502622D","A1","Tributyltin Chloride","0.03","uM","1","",0.660955,0.655714,0.240409,23.0715,1.437,28.8555,10.5,1.5,0,0,0,0,0,0,0,-0.000387,9e-06
"20220209","MW89-4616","A7","Tributyltin Chloride","0.03","uM","1","",4.652581,4.480909,0.011959,122.295409,0.321682,42.686591,47.5,16.5,71,52.423077,0.711256,112.101065,476.869408,0.070391,491.153846,1.686731,0.036553
"20211103","MW507214B","B1","Tributyltin Chloride","0.03","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",6.000914,6.246,0.082101,85.977214,5.703321,67.349571,25.75,21,13.5,23.5,0.403742,4.873208,127.96875,0.189811,221,0.145696,0.004937
"20220209","MW89-4613","B7","Tributyltin Chloride","0.03","uM","1","",0.961751,0.54,0.067779,64.5075,0.636,150.7455,7.5,1.5,0,0,0,0,0,0,0,0.053932,0
"20211103","MW502622B","C1","Tributyltin Chloride","0.03","uM","1","",2.450522,2.184545,0.153009,55.60425,1.87125,42.18825,21,3,4.5,23,0.404652,6.11951,474.2625,0.028089,170,0.220653,0.001971
"20220209","MW89-4615","C7","Tributyltin Chloride","0.03","uM","1","",2.658653,6.261136,0.083222,300.411125,1.28275,254.918875,45.5,30.5,102.5,46.546591,0.758062,74.364265,303.286111,0.157485,234.701136,1.270064,0.022052
"20211103","MW502622B","A3","Deltamethrin","0.1","uM","1","",5.885404,5.298,0.284921,140.3105,9.79425,221.48475,34.5,11.5,0,0,0,0,0,0,0,-0.003758,3.1e-05
"20220209","MW89-4615","A3","Deltamethrin","0.1","uM","1","",7.110878,9.6135,0.395104,292.192333,3.91925,237.652375,58.5,29.5,111,76.116379,1.329012,85.085108,1228.57688,0.2512,616.717672,1.540575,0.047782
"20211103","MW502622D","B3","Deltamethrin","0.1","uM","1","",5.292714,8.485909,0.057264,264.7982,0.804225,192.433175,34,25,122,35.832512,0.57763,109.862653,155.691498,0.150248,210.346059,1.084922,0.025353
"20220209","MW89-4616","B3","Deltamethrin","0.1","uM","1","",7.499311,9.46483,0.230776,388.93283,4.306335,293.163955,86,69,104,95.522727,1.539622,80.627053,653.417777,0.237025,899.882576,1.866914,0.079562
"20211103","MW507214B","C3","Deltamethrin","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",4.471281,7.171875,0.425225,251.587469,2.94225,257.763688,43.75,32.25,67,38.779221,0.63939,56.060984,171.643389,0.159021,196.785714,0.68612,0.013814
"20220209","MW89-4613","C3","Deltamethrin","0.1","uM","1","",3.96874,4.918393,0.201863,383.382635,3.384556,282.321753,92,48.5,75.5,87.5,1.546213,90.889896,611.571688,0.388113,682.122222,2.194768,0.048273
"20211103","MW507214B","D3","Glyphosate","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",5.114196,5.82125,0.17371,250.321875,3.213687,236.994313,44.75,31.5,53.25,41.449275,0.785172,18.447692,201.132468,0.228901,235.884058,0.381118,0.013145
"20220209","MW89-4613","D3","Glyphosate","0.1","uM","1","",4.964753,4.954375,0.070103,348.994643,2.7235,233.7344,80,40,91.5,87.154279,1.588532,119.114128,871.114394,0.479168,885.188063,2.059619,0.062157
"20211103","MW502622B","E3","Glyphosate","0.1","uM","1","",5.530145,10.823125,0.148244,232.403063,1.600031,129.008906,46.5,36.5,76.5,42.858974,0.829404,23.174486,193.940786,0.207544,217.051282,0.517013,0.016231
"20220209","MW89-4615","E3","Glyphosate","0.1","uM","1","",7.681976,8.309135,0.190765,327.215396,4.53725,338.650615,92.5,43,124.5,88.195141,1.387192,76.4739,534.009211,0.360582,762.44953,2.207645,0.074229
"20211103","MW502622D","F3","Glyphosate","0.1","uM","1","",1.604616,3.03,0.172859,238.44,1.20775,370.05565,26,17.5,15,24,0.196337,15.135401,97.8,0.026009,169.35,0.362794,0.002344
"20220209","MW89-4616","F3","Glyphosate","0.1","uM","1","",4.600493,3.985714,0.072917,317.515115,2.818115,310.683096,57,53,83.5,58.324675,1.148511,81.830181,297.67655,0.13392,637.079545,1.781095,0.06048
"20211103","MW502622D","D3","Lindane","0.1","uM","1","",4.897227,2.2125,0.352182,103.152,3.243125,148.936938,37,14.5,14.5,44.6875,0.638525,14.739068,9.932143,0.025254,239.5625,0.246282,0.004252
"20220209","MW89-4616","D3","Lindane","0.1","uM","1","",6.23152,6.260612,0.209676,343.781188,4.6975,410.755563,75,42,86.5,79.916667,1.734848,87.266582,615.171875,0.37766,714.984848,2.099408,0.064352
"20211103","MW507214B","E3","Lindane","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",8.009097,7.1325,0.365088,90.41395,2.5952,165.8646,36,23.75,44.75,47.862069,0.673974,12.380894,35.732143,0.069303,229.482759,0.215601,0.010221
"20220209","MW89-4613","E3","Lindane","0.1","uM","1","",4.895264,4.469583,0.054986,347.923938,2.99075,235.426375,46.5,17,96.5,70.119949,1.042147,160.384507,758.205887,0.217299,641.140152,2.785286,0.069585
"20211103","MW502622B","F3","Lindane","0.1","uM","1","",15.446116,4.82,0.288724,123.57,5.854375,156.091125,18,14,33,14.590909,0.193084,63.615206,61.582143,0.026673,111.818182,0.836901,0.013168
"20220209","MW89-4615","F3","Lindane","0.1","uM","1","",3.641576,2.84375,0.038861,126.5805,1.067062,60.54075,31,12,76,31.489011,0.883688,92.955756,296.007675,0.284565,281.587912,1.892045,0.049703
"20211103","MW502622B","D3","Rotenone","0.1","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20211103","MW502622D","E3","Rotenone","0.1","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20211103","MW507214B","F3","Rotenone","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20211103","MW507214B","A3","Thiamethoxam","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",5.600857,6.56625,0.27458,99.152258,7.384,160.361517,53.75,30,16.5,24,0.295814,7.916006,105.5775,0.031754,227.045455,0.190272,0.005686
"20220209","MW89-4613","A3","Thiamethoxam","0.1","uM","1","",5.641059,6.779038,0.205824,377.059644,3.214913,295.160731,62.5,52.5,109.5,77.666154,1.502407,101.993862,198.253316,0.27507,714.501538,2.145875,0.065277
"20211103","MW502622B","B3","Thiamethoxam","0.1","uM","1","",10.63059,12.785625,0.254372,167.011604,3.5105,123.259729,60.5,39,88.5,22.932203,0.336173,23.941859,21.687931,0.075117,198.076271,0.396925,0.025371
"20220209","MW89-4615","B3","Thiamethoxam","0.1","uM","1","",6.250665,9.180667,0.078223,271.3016,2.503267,184.5314,78,30,123.5,91.646057,1.384848,83.829738,629.16443,0.206481,698.798387,1.852681,0.056687
"20211103","MW502622D","C3","Thiamethoxam","0.1","uM","1","",2.960765,2.983269,0.024449,86.223375,0.385,40.8315,31.5,18,37.5,21.6,0.217282,31.869919,40.9375,0.021063,164.64,0.469625,0.01107
"20220209","MW89-4616","C3","Thiamethoxam","0.1","uM","1","",7.66001,8.653125,0.073046,318.449719,2.453479,154.090771,90,61.5,119.5,89.963555,1.876494,75.461394,559.764271,0.40588,808.680307,1.976476,0.076105
"20211103","MW502622D","A3","Tributyltin Chloride","0.1","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220209","MW89-4616","A8","Tributyltin Chloride","0.1","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20211103","MW507214B","B3","Tributyltin Chloride","0.1","uM","1","DIV9 estimated as median from corresponding wells of 20211103_MW502622B,20211103_MW502622D; ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220209","MW89-4613","B8","Tributyltin Chloride","0.1","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20211103","MW502622B","C3","Tributyltin Chloride","0.1","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20220209","MW89-4615","C8","Tributyltin Chloride","0.1","uM","1","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
